, where, what, value
0, driver, memory_footprint_bytes, 100704256.000000000000
1, driver, kernel_time, 0.000265422000
2, driver, total_time, 0.007105756000
3, driver, kernel_time 0, 0.000072435000
4, driver, kernel_time 1, 0.000079723000
5, driver, kernel_time 2, 0.000113264000
6, GPU1.CommandProcessor, kernel_time, 0.000263655000
7, GPU1.CommandProcessor, kernel_time 0, 0.000072435000
8, GPU1.CommandProcessor, kernel_time 1, 0.000079723000
9, GPU1.CommandProcessor, kernel_time 2, 0.000113264000
10, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.003012323000
11, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.001566990000
12, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.001474835000
13, GPU1.chiplet_00.SA_00.CU_00, inst_count, 89773.000000000000
14, GPU1.chiplet_00.SA_00.CU_01, inst_count, 93337.000000000000
15, GPU1.chiplet_00.SA_00.CU_02, inst_count, 86749.000000000000
16, GPU1.chiplet_00.SA_00.CU_03, inst_count, 88273.000000000000
17, GPU1.chiplet_00.SA_01.CU_00, inst_count, 100821.000000000000
18, GPU1.chiplet_00.SA_01.CU_01, inst_count, 89805.000000000000
19, GPU1.chiplet_00.SA_01.CU_02, inst_count, 79209.000000000000
20, GPU1.chiplet_00.SA_01.CU_03, inst_count, 91157.000000000000
21, GPU1.chiplet_00.SA_02.CU_00, inst_count, 91213.000000000000
22, GPU1.chiplet_00.SA_02.CU_01, inst_count, 91637.000000000000
23, GPU1.chiplet_00.SA_02.CU_02, inst_count, 92145.000000000000
24, GPU1.chiplet_00.SA_02.CU_03, inst_count, 90849.000000000000
25, GPU1.chiplet_00.SA_03.CU_00, inst_count, 104061.000000000000
26, GPU1.chiplet_00.SA_03.CU_01, inst_count, 92157.000000000000
27, GPU1.chiplet_00.SA_03.CU_02, inst_count, 86161.000000000000
28, GPU1.chiplet_00.SA_03.CU_03, inst_count, 91745.000000000000
29, GPU1.chiplet_00.SA_04.CU_00, inst_count, 108013.000000000000
30, GPU1.chiplet_00.SA_04.CU_01, inst_count, 88301.000000000000
31, GPU1.chiplet_00.SA_04.CU_02, inst_count, 79077.000000000000
32, GPU1.chiplet_00.SA_04.CU_03, inst_count, 86229.000000000000
33, GPU1.chiplet_00.SA_05.CU_00, inst_count, 90961.000000000000
34, GPU1.chiplet_00.SA_05.CU_01, inst_count, 85597.000000000000
35, GPU1.chiplet_00.SA_05.CU_02, inst_count, 89461.000000000000
36, GPU1.chiplet_00.SA_05.CU_03, inst_count, 86505.000000000000
37, GPU1.chiplet_00.SA_06.CU_00, inst_count, 76629.000000000000
38, GPU1.chiplet_00.SA_06.CU_01, inst_count, 87605.000000000000
39, GPU1.chiplet_00.SA_06.CU_02, inst_count, 96365.000000000000
40, GPU1.chiplet_00.SA_06.CU_03, inst_count, 94185.000000000000
41, GPU1.chiplet_00.SA_07.CU_00, inst_count, 80449.000000000000
42, GPU1.chiplet_00.SA_07.CU_01, inst_count, 83977.000000000000
43, GPU1.chiplet_00.SA_07.CU_02, inst_count, 82241.000000000000
44, GPU1.chiplet_00.SA_07.CU_03, inst_count, 87409.000000000000
45, GPU1.chiplet_01.SA_00.CU_00, inst_count, 73705.000000000000
46, GPU1.chiplet_01.SA_00.CU_01, inst_count, 88245.000000000000
47, GPU1.chiplet_01.SA_00.CU_02, inst_count, 94225.000000000000
48, GPU1.chiplet_01.SA_00.CU_03, inst_count, 89705.000000000000
49, GPU1.chiplet_01.SA_01.CU_00, inst_count, 86265.000000000000
50, GPU1.chiplet_01.SA_01.CU_01, inst_count, 94849.000000000000
51, GPU1.chiplet_01.SA_01.CU_02, inst_count, 94257.000000000000
52, GPU1.chiplet_01.SA_01.CU_03, inst_count, 84157.000000000000
53, GPU1.chiplet_01.SA_02.CU_00, inst_count, 91713.000000000000
54, GPU1.chiplet_01.SA_02.CU_01, inst_count, 82561.000000000000
55, GPU1.chiplet_01.SA_02.CU_02, inst_count, 95437.000000000000
56, GPU1.chiplet_01.SA_02.CU_03, inst_count, 98969.000000000000
57, GPU1.chiplet_01.SA_03.CU_00, inst_count, 96285.000000000000
58, GPU1.chiplet_01.SA_03.CU_01, inst_count, 87449.000000000000
59, GPU1.chiplet_01.SA_03.CU_02, inst_count, 90925.000000000000
60, GPU1.chiplet_01.SA_03.CU_03, inst_count, 89041.000000000000
61, GPU1.chiplet_01.SA_04.CU_00, inst_count, 94149.000000000000
62, GPU1.chiplet_01.SA_04.CU_01, inst_count, 85665.000000000000
63, GPU1.chiplet_01.SA_04.CU_02, inst_count, 97933.000000000000
64, GPU1.chiplet_01.SA_04.CU_03, inst_count, 94721.000000000000
65, GPU1.chiplet_01.SA_05.CU_00, inst_count, 84573.000000000000
66, GPU1.chiplet_01.SA_05.CU_01, inst_count, 83097.000000000000
67, GPU1.chiplet_01.SA_05.CU_02, inst_count, 91849.000000000000
68, GPU1.chiplet_01.SA_05.CU_03, inst_count, 94641.000000000000
69, GPU1.chiplet_01.SA_06.CU_00, inst_count, 83685.000000000000
70, GPU1.chiplet_01.SA_06.CU_01, inst_count, 87685.000000000000
71, GPU1.chiplet_01.SA_06.CU_02, inst_count, 90905.000000000000
72, GPU1.chiplet_01.SA_06.CU_03, inst_count, 91037.000000000000
73, GPU1.chiplet_01.SA_07.CU_00, inst_count, 87253.000000000000
74, GPU1.chiplet_01.SA_07.CU_01, inst_count, 88213.000000000000
75, GPU1.chiplet_01.SA_07.CU_02, inst_count, 86997.000000000000
76, GPU1.chiplet_01.SA_07.CU_03, inst_count, 79077.000000000000
77, GPU1.chiplet_02.SA_00.CU_00, inst_count, 95516.000000000000
78, GPU1.chiplet_02.SA_00.CU_01, inst_count, 87456.000000000000
