, where, what, value
0, driver, memory_footprint_bytes, 13623296.000000000000
1, driver, kernel_time, 0.002311997000
2, driver, total_time, 0.007478859000
3, driver, kernel_time 0, 0.000001706000
4, driver, kernel_time 1, 0.000007236000
5, driver, kernel_time 2, 0.000001452000
6, driver, kernel_time 3, 0.000006621000
7, driver, kernel_time 4, 0.000001452000
8, driver, kernel_time 5, 0.000006566000
9, driver, kernel_time 6, 0.000001452000
10, driver, kernel_time 7, 0.000006544000
11, driver, kernel_time 8, 0.000001447000
12, driver, kernel_time 9, 0.000006567000
13, driver, kernel_time 10, 0.000001495000
14, driver, kernel_time 11, 0.000006576000
15, driver, kernel_time 12, 0.000001495000
16, driver, kernel_time 13, 0.000006706000
17, driver, kernel_time 14, 0.000001495000
18, driver, kernel_time 15, 0.000006017000
19, driver, kernel_time 16, 0.000001631000
20, driver, kernel_time 17, 0.000006676000
21, driver, kernel_time 18, 0.000001384000
22, driver, kernel_time 19, 0.000006124000
23, driver, kernel_time 20, 0.000001500000
24, driver, kernel_time 21, 0.000006019000
25, driver, kernel_time 22, 0.000001420000
26, driver, kernel_time 23, 0.000006090000
27, driver, kernel_time 24, 0.000001495000
28, driver, kernel_time 25, 0.000006044000
29, driver, kernel_time 26, 0.000001433000
30, driver, kernel_time 27, 0.000006110000
31, driver, kernel_time 28, 0.000001495000
32, driver, kernel_time 29, 0.000006031000
33, driver, kernel_time 30, 0.000001627000
34, driver, kernel_time 31, 0.000005958000
35, driver, kernel_time 32, 0.000001433000
36, driver, kernel_time 33, 0.000005989000
37, driver, kernel_time 34, 0.000001420000
38, driver, kernel_time 35, 0.000006020000
39, driver, kernel_time 36, 0.000001420000
40, driver, kernel_time 37, 0.000006010000
41, driver, kernel_time 38, 0.000001433000
42, driver, kernel_time 39, 0.000006026000
43, driver, kernel_time 40, 0.000001390000
44, driver, kernel_time 41, 0.000005933000
45, driver, kernel_time 42, 0.000001420000
46, driver, kernel_time 43, 0.000005926000
47, driver, kernel_time 44, 0.000001433000
48, driver, kernel_time 45, 0.000005885000
49, driver, kernel_time 46, 0.000001420000
50, driver, kernel_time 47, 0.000005775000
51, driver, kernel_time 48, 0.000001624000
52, driver, kernel_time 49, 0.000005794000
53, driver, kernel_time 50, 0.000001576000
54, driver, kernel_time 51, 0.000005795000
55, driver, kernel_time 52, 0.000001496000
56, driver, kernel_time 53, 0.000005764000
57, driver, kernel_time 54, 0.000001433000
58, driver, kernel_time 55, 0.000005786000
59, driver, kernel_time 56, 0.000001420000
60, driver, kernel_time 57, 0.000005746000
61, driver, kernel_time 58, 0.000001384000
62, driver, kernel_time 59, 0.000005750000
63, driver, kernel_time 60, 0.000001420000
64, driver, kernel_time 61, 0.000005775000
65, driver, kernel_time 62, 0.000001440000
66, driver, kernel_time 63, 0.000005548000
67, driver, kernel_time 64, 0.000001384000
68, driver, kernel_time 65, 0.000005613000
69, driver, kernel_time 66, 0.000001397000
70, driver, kernel_time 67, 0.000005585000
71, driver, kernel_time 68, 0.000001397000
72, driver, kernel_time 69, 0.000005582000
73, driver, kernel_time 70, 0.000001433000
74, driver, kernel_time 71, 0.000005730000
75, driver, kernel_time 72, 0.000001433000
76, driver, kernel_time 73, 0.000005702000
77, driver, kernel_time 74, 0.000001384000
78, driver, kernel_time 75, 0.000005570000
79, driver, kernel_time 76, 0.000001433000
80, driver, kernel_time 77, 0.000005571000
81, driver, kernel_time 78, 0.000001433000
82, driver, kernel_time 79, 0.000005443000
83, driver, kernel_time 80, 0.000001384000
84, driver, kernel_time 81, 0.000005555000
85, driver, kernel_time 82, 0.000001420000
86, driver, kernel_time 83, 0.000005487000
87, driver, kernel_time 84, 0.000001384000
88, driver, kernel_time 85, 0.000005495000
89, driver, kernel_time 86, 0.000001420000
90, driver, kernel_time 87, 0.000005552000
91, driver, kernel_time 88, 0.000001420000
92, driver, kernel_time 89, 0.000005491000
93, driver, kernel_time 90, 0.000001420000
94, driver, kernel_time 91, 0.000005501000
95, driver, kernel_time 92, 0.000001420000
96, driver, kernel_time 93, 0.000005471000
97, driver, kernel_time 94, 0.000001433000
98, driver, kernel_time 95, 0.000005257000
99, driver, kernel_time 96, 0.000001397000
100, driver, kernel_time 97, 0.000005483000
101, driver, kernel_time 98, 0.000001420000
102, driver, kernel_time 99, 0.000005448000
103, driver, kernel_time 100, 0.000001433000
104, driver, kernel_time 101, 0.000005515000
105, driver, kernel_time 102, 0.000001420000
106, driver, kernel_time 103, 0.000005395000
107, driver, kernel_time 104, 0.000001433000
108, driver, kernel_time 105, 0.000005470000
109, driver, kernel_time 106, 0.000001420000
110, driver, kernel_time 107, 0.000005488000
111, driver, kernel_time 108, 0.000001420000
112, driver, kernel_time 109, 0.000005503000
113, driver, kernel_time 110, 0.000001397000
114, driver, kernel_time 111, 0.000005193000
115, driver, kernel_time 112, 0.000001420000
116, driver, kernel_time 113, 0.000005496000
117, driver, kernel_time 114, 0.000001433000
118, driver, kernel_time 115, 0.000005313000
119, driver, kernel_time 116, 0.000001390000
120, driver, kernel_time 117, 0.000005317000
121, driver, kernel_time 118, 0.000001433000
122, driver, kernel_time 119, 0.000005334000
123, driver, kernel_time 120, 0.000001420000
124, driver, kernel_time 121, 0.000005294000
125, driver, kernel_time 122, 0.000001384000
126, driver, kernel_time 123, 0.000005306000
127, driver, kernel_time 124, 0.000001420000
128, driver, kernel_time 125, 0.000005402000
129, driver, kernel_time 126, 0.000001433000
130, driver, kernel_time 127, 0.000005131000
131, driver, kernel_time 128, 0.000001420000
132, driver, kernel_time 129, 0.000005192000
133, driver, kernel_time 130, 0.000001420000
134, driver, kernel_time 131, 0.000005166000
135, driver, kernel_time 132, 0.000001384000
136, driver, kernel_time 133, 0.000005183000
137, driver, kernel_time 134, 0.000001420000
138, driver, kernel_time 135, 0.000005225000
139, driver, kernel_time 136, 0.000001433000
140, driver, kernel_time 137, 0.000005123000
141, driver, kernel_time 138, 0.000001420000
142, driver, kernel_time 139, 0.000005205000
143, driver, kernel_time 140, 0.000001384000
144, driver, kernel_time 141, 0.000005146000
145, driver, kernel_time 142, 0.000001433000
146, driver, kernel_time 143, 0.000004921000
147, driver, kernel_time 144, 0.000001397000
148, driver, kernel_time 145, 0.000005046000
149, driver, kernel_time 146, 0.000001384000
