, where, what, value
0, driver, memory_footprint_bytes, 41992192.000000000000
1, driver, kernel_time, 0.000174509000
2, driver, total_time, 0.002935168000
3, driver, kernel_time 0, 0.000044855000
4, driver, kernel_time 1, 0.000043321000
5, driver, kernel_time 2, 0.000043013000
6, driver, kernel_time 3, 0.000043320000
7, GPU1.CommandProcessor, kernel_time, 0.000172153000
8, GPU1.CommandProcessor, kernel_time 0, 0.000044855000
9, GPU1.CommandProcessor, kernel_time 1, 0.000043321000
10, GPU1.CommandProcessor, kernel_time 2, 0.000043013000
11, GPU1.CommandProcessor, kernel_time 3, 0.000043320000
12, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.001222683000
13, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.001170030000
14, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.001118896000
15, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.001067991000
16, GPU1.chiplet_00.SA_00.CU_00, inst_count, 21240.000000000000
17, GPU1.chiplet_00.SA_00.CU_01, inst_count, 29880.000000000000
18, GPU1.chiplet_00.SA_00.CU_02, inst_count, 18000.000000000000
19, GPU1.chiplet_00.SA_00.CU_03, inst_count, 24480.000000000000
20, GPU1.chiplet_00.SA_01.CU_00, inst_count, 29880.000000000000
21, GPU1.chiplet_00.SA_01.CU_01, inst_count, 21240.000000000000
22, GPU1.chiplet_00.SA_01.CU_02, inst_count, 23760.000000000000
23, GPU1.chiplet_00.SA_01.CU_03, inst_count, 25200.000000000000
24, GPU1.chiplet_00.SA_02.CU_00, inst_count, 22680.000000000000
25, GPU1.chiplet_00.SA_02.CU_01, inst_count, 19440.000000000000
26, GPU1.chiplet_00.SA_02.CU_02, inst_count, 20520.000000000000
27, GPU1.chiplet_00.SA_02.CU_03, inst_count, 21600.000000000000
28, GPU1.chiplet_00.SA_03.CU_00, inst_count, 23040.000000000000
29, GPU1.chiplet_00.SA_03.CU_01, inst_count, 23400.000000000000
30, GPU1.chiplet_00.SA_03.CU_02, inst_count, 23400.000000000000
31, GPU1.chiplet_00.SA_03.CU_03, inst_count, 23400.000000000000
32, GPU1.chiplet_00.SA_04.CU_00, inst_count, 26280.000000000000
33, GPU1.chiplet_00.SA_04.CU_01, inst_count, 26280.000000000000
34, GPU1.chiplet_00.SA_04.CU_02, inst_count, 20160.000000000000
35, GPU1.chiplet_00.SA_04.CU_03, inst_count, 19080.000000000000
36, GPU1.chiplet_00.SA_05.CU_00, inst_count, 24120.000000000000
37, GPU1.chiplet_00.SA_05.CU_01, inst_count, 23040.000000000000
38, GPU1.chiplet_00.SA_05.CU_02, inst_count, 24480.000000000000
39, GPU1.chiplet_00.SA_05.CU_03, inst_count, 23400.000000000000
40, GPU1.chiplet_00.SA_06.CU_00, inst_count, 22320.000000000000
41, GPU1.chiplet_00.SA_06.CU_01, inst_count, 27000.000000000000
42, GPU1.chiplet_00.SA_06.CU_02, inst_count, 19440.000000000000
43, GPU1.chiplet_00.SA_06.CU_03, inst_count, 18720.000000000000
44, GPU1.chiplet_00.SA_07.CU_00, inst_count, 20160.000000000000
45, GPU1.chiplet_00.SA_07.CU_01, inst_count, 23400.000000000000
46, GPU1.chiplet_00.SA_07.CU_02, inst_count, 21240.000000000000
47, GPU1.chiplet_00.SA_07.CU_03, inst_count, 25200.000000000000
48, GPU1.chiplet_01.SA_00.CU_00, inst_count, 23040.000000000000
49, GPU1.chiplet_01.SA_00.CU_01, inst_count, 24120.000000000000
50, GPU1.chiplet_01.SA_00.CU_02, inst_count, 22320.000000000000
51, GPU1.chiplet_01.SA_00.CU_03, inst_count, 20880.000000000000
52, GPU1.chiplet_01.SA_01.CU_00, inst_count, 27360.000000000000
53, GPU1.chiplet_01.SA_01.CU_01, inst_count, 23400.000000000000
54, GPU1.chiplet_01.SA_01.CU_02, inst_count, 26640.000000000000
55, GPU1.chiplet_01.SA_01.CU_03, inst_count, 26640.000000000000
56, GPU1.chiplet_01.SA_02.CU_00, inst_count, 25200.000000000000
57, GPU1.chiplet_01.SA_02.CU_01, inst_count, 20880.000000000000
58, GPU1.chiplet_01.SA_02.CU_02, inst_count, 20880.000000000000
59, GPU1.chiplet_01.SA_02.CU_03, inst_count, 20520.000000000000
60, GPU1.chiplet_01.SA_03.CU_00, inst_count, 23400.000000000000
61, GPU1.chiplet_01.SA_03.CU_01, inst_count, 22320.000000000000
62, GPU1.chiplet_01.SA_03.CU_02, inst_count, 23040.000000000000
63, GPU1.chiplet_01.SA_03.CU_03, inst_count, 22680.000000000000
64, GPU1.chiplet_01.SA_04.CU_00, inst_count, 19080.000000000000
65, GPU1.chiplet_01.SA_04.CU_01, inst_count, 23400.000000000000
66, GPU1.chiplet_01.SA_04.CU_02, inst_count, 21600.000000000000
67, GPU1.chiplet_01.SA_04.CU_03, inst_count, 23040.000000000000
68, GPU1.chiplet_01.SA_05.CU_00, inst_count, 24480.000000000000
69, GPU1.chiplet_01.SA_05.CU_01, inst_count, 25560.000000000000
70, GPU1.chiplet_01.SA_05.CU_02, inst_count, 28440.000000000000
71, GPU1.chiplet_01.SA_05.CU_03, inst_count, 22680.000000000000
72, GPU1.chiplet_01.SA_06.CU_00, inst_count, 20160.000000000000
73, GPU1.chiplet_01.SA_06.CU_01, inst_count, 23760.000000000000
74, GPU1.chiplet_01.SA_06.CU_02, inst_count, 23040.000000000000
75, GPU1.chiplet_01.SA_06.CU_03, inst_count, 24120.000000000000
76, GPU1.chiplet_01.SA_07.CU_00, inst_count, 26280.000000000000
77, GPU1.chiplet_01.SA_07.CU_01, inst_count, 22320.000000000000
78, GPU1.chiplet_01.SA_07.CU_02, inst_count, 23040.000000000000
79, GPU1.chiplet_01.SA_07.CU_03, inst_count, 23760.000000000000
80, GPU1.chiplet_02.SA_00.CU_00, inst_count, 25560.000000000000
81, GPU1.chiplet_02.SA_00.CU_01, inst_count, 21240.000000000000
82, GPU1.chiplet_02.SA_00.CU_02, inst_count, 27720.000000000000
83, GPU1.chiplet_02.SA_00.CU_03, inst_count, 25560.000000000000
84, GPU1.chiplet_02.SA_01.CU_00, inst_count, 23040.000000000000
85, GPU1.chiplet_02.SA_01.CU_01, inst_count, 19800.000000000000
86, GPU1.chiplet_02.SA_01.CU_02, inst_count, 25560.000000000000
87, GPU1.chiplet_02.SA_01.CU_03, inst_count, 23400.000000000000
88, GPU1.chiplet_02.SA_02.CU_00, inst_count, 18720.000000000000
89, GPU1.chiplet_02.SA_02.CU_01, inst_count, 24840.000000000000
90, GPU1.chiplet_02.SA_02.CU_02, inst_count, 27360.000000000000
91, GPU1.chiplet_02.SA_02.CU_03, inst_count, 21960.000000000000
92, GPU1.chiplet_02.SA_03.CU_00, inst_count, 16560.000000000000
93, GPU1.chiplet_02.SA_03.CU_01, inst_count, 16560.000000000000
94, GPU1.chiplet_02.SA_03.CU_02, inst_count, 24120.000000000000
95, GPU1.chiplet_02.SA_03.CU_03, inst_count, 23400.000000000000
96, GPU1.chiplet_02.SA_04.CU_00, inst_count, 23040.000000000000
97, GPU1.chiplet_02.SA_04.CU_01, inst_count, 25560.000000000000
98, GPU1.chiplet_02.SA_04.CU_02, inst_count, 21600.000000000000
99, GPU1.chiplet_02.SA_04.CU_03, inst_count, 22680.000000000000
100, GPU1.chiplet_02.SA_05.CU_00, inst_count, 24120.000000000000
101, GPU1.chiplet_02.SA_05.CU_01, inst_count, 19080.000000000000
102, GPU1.chiplet_02.SA_05.CU_02, inst_count, 21600.000000000000
103, GPU1.chiplet_02.SA_05.CU_03, inst_count, 26280.000000000000
104, GPU1.chiplet_02.SA_06.CU_00, inst_count, 22320.000000000000
105, GPU1.chiplet_02.SA_06.CU_01, inst_count, 22320.000000000000
106, GPU1.chiplet_02.SA_06.CU_02, inst_count, 26280.000000000000
107, GPU1.chiplet_02.SA_06.CU_03, inst_count, 21240.000000000000
108, GPU1.chiplet_02.SA_07.CU_00, inst_count, 23760.000000000000
109, GPU1.chiplet_02.SA_07.CU_01, inst_count, 26640.000000000000
110, GPU1.chiplet_02.SA_07.CU_02, inst_count, 25200.000000000000
111, GPU1.chiplet_02.SA_07.CU_03, inst_count, 25560.000000000000
112, GPU1.chiplet_03.SA_00.CU_00, inst_count, 28440.000000000000
113, GPU1.chiplet_03.SA_00.CU_01, inst_count, 25560.000000000000
114, GPU1.chiplet_03.SA_00.CU_02, inst_count, 17640.000000000000
115, GPU1.chiplet_03.SA_00.CU_03, inst_count, 24840.000000000000
116, GPU1.chiplet_03.SA_01.CU_00, inst_count, 27000.000000000000
117, GPU1.chiplet_03.SA_01.CU_01, inst_count, 24120.000000000000
118, GPU1.chiplet_03.SA_01.CU_02, inst_count, 25920.000000000000
119, GPU1.chiplet_03.SA_01.CU_03, inst_count, 26280.000000000000
120, GPU1.chiplet_03.SA_02.CU_00, inst_count, 27360.000000000000
121, GPU1.chiplet_03.SA_02.CU_01, inst_count, 20880.000000000000
122, GPU1.chiplet_03.SA_02.CU_02, inst_count, 18720.000000000000
123, GPU1.chiplet_03.SA_02.CU_03, inst_count, 24480.000000000000
124, GPU1.chiplet_03.SA_03.CU_00, inst_count, 21960.000000000000
125, GPU1.chiplet_03.SA_03.CU_01, inst_count, 20880.000000000000
126, GPU1.chiplet_03.SA_03.CU_02, inst_count, 24840.000000000000
127, GPU1.chiplet_03.SA_03.CU_03, inst_count, 18360.000000000000
128, GPU1.chiplet_03.SA_04.CU_00, inst_count, 23400.000000000000
129, GPU1.chiplet_03.SA_04.CU_01, inst_count, 23400.000000000000
130, GPU1.chiplet_03.SA_04.CU_02, inst_count, 21240.000000000000
131, GPU1.chiplet_03.SA_04.CU_03, inst_count, 19440.000000000000
132, GPU1.chiplet_03.SA_05.CU_00, inst_count, 26640.000000000000
133, GPU1.chiplet_03.SA_05.CU_01, inst_count, 26640.000000000000
134, GPU1.chiplet_03.SA_05.CU_02, inst_count, 23400.000000000000
135, GPU1.chiplet_03.SA_05.CU_03, inst_count, 20880.000000000000
136, GPU1.chiplet_03.SA_06.CU_00, inst_count, 20520.000000000000
137, GPU1.chiplet_03.SA_06.CU_01, inst_count, 23760.000000000000
138, GPU1.chiplet_03.SA_06.CU_02, inst_count, 17640.000000000000
139, GPU1.chiplet_03.SA_06.CU_03, inst_count, 24480.000000000000
140, GPU1.chiplet_03.SA_07.CU_00, inst_count, 25920.000000000000
141, GPU1.chiplet_03.SA_07.CU_01, inst_count, 20880.000000000000
142, GPU1.chiplet_03.SA_07.CU_02, inst_count, 20880.000000000000
143, GPU1.chiplet_03.SA_07.CU_03, inst_count, 25560.000000000000
144, GPU1.chiplet_04.SA_00.CU_00, inst_count, 22680.000000000000
145, GPU1.chiplet_04.SA_00.CU_01, inst_count, 21600.000000000000
146, GPU1.chiplet_04.SA_00.CU_02, inst_count, 24120.000000000000
147, GPU1.chiplet_04.SA_00.CU_03, inst_count, 23400.000000000000
148, GPU1.chiplet_04.SA_01.CU_00, inst_count, 22680.000000000000
149, GPU1.chiplet_04.SA_01.CU_01, inst_count, 19800.000000000000
150, GPU1.chiplet_04.SA_01.CU_02, inst_count, 25560.000000000000
151, GPU1.chiplet_04.SA_01.CU_03, inst_count, 26640.000000000000
152, GPU1.chiplet_04.SA_02.CU_00, inst_count, 27000.000000000000
153, GPU1.chiplet_04.SA_02.CU_01, inst_count, 21960.000000000000
154, GPU1.chiplet_04.SA_02.CU_02, inst_count, 23040.000000000000
155, GPU1.chiplet_04.SA_02.CU_03, inst_count, 22680.000000000000
156, GPU1.chiplet_04.SA_03.CU_00, inst_count, 21600.000000000000
157, GPU1.chiplet_04.SA_03.CU_01, inst_count, 25200.000000000000
158, GPU1.chiplet_04.SA_03.CU_02, inst_count, 21240.000000000000
159, GPU1.chiplet_04.SA_03.CU_03, inst_count, 21960.000000000000
160, GPU1.chiplet_04.SA_04.CU_00, inst_count, 20160.000000000000
161, GPU1.chiplet_04.SA_04.CU_01, inst_count, 17640.000000000000
162, GPU1.chiplet_04.SA_04.CU_02, inst_count, 24480.000000000000
163, GPU1.chiplet_04.SA_04.CU_03, inst_count, 23760.000000000000
164, GPU1.chiplet_04.SA_05.CU_00, inst_count, 23040.000000000000
165, GPU1.chiplet_04.SA_05.CU_01, inst_count, 21600.000000000000
166, GPU1.chiplet_04.SA_05.CU_02, inst_count, 23760.000000000000
167, GPU1.chiplet_04.SA_05.CU_03, inst_count, 21240.000000000000
168, GPU1.chiplet_04.SA_06.CU_00, inst_count, 25200.000000000000
169, GPU1.chiplet_04.SA_06.CU_01, inst_count, 22680.000000000000
170, GPU1.chiplet_04.SA_06.CU_02, inst_count, 25200.000000000000
171, GPU1.chiplet_04.SA_06.CU_03, inst_count, 23760.000000000000
172, GPU1.chiplet_04.SA_07.CU_00, inst_count, 19440.000000000000
173, GPU1.chiplet_04.SA_07.CU_01, inst_count, 23400.000000000000
174, GPU1.chiplet_04.SA_07.CU_02, inst_count, 23400.000000000000
175, GPU1.chiplet_04.SA_07.CU_03, inst_count, 19800.000000000000
176, GPU1.chiplet_05.SA_00.CU_00, inst_count, 28080.000000000000
177, GPU1.chiplet_05.SA_00.CU_01, inst_count, 28800.000000000000
178, GPU1.chiplet_05.SA_00.CU_02, inst_count, 27720.000000000000
179, GPU1.chiplet_05.SA_00.CU_03, inst_count, 25560.000000000000
180, GPU1.chiplet_05.SA_01.CU_00, inst_count, 25920.000000000000
181, GPU1.chiplet_05.SA_01.CU_01, inst_count, 22320.000000000000
182, GPU1.chiplet_05.SA_01.CU_02, inst_count, 27720.000000000000
183, GPU1.chiplet_05.SA_01.CU_03, inst_count, 23040.000000000000
184, GPU1.chiplet_05.SA_02.CU_00, inst_count, 23400.000000000000
185, GPU1.chiplet_05.SA_02.CU_01, inst_count, 24840.000000000000
186, GPU1.chiplet_05.SA_02.CU_02, inst_count, 22680.000000000000
187, GPU1.chiplet_05.SA_02.CU_03, inst_count, 20520.000000000000
188, GPU1.chiplet_05.SA_03.CU_00, inst_count, 25200.000000000000
189, GPU1.chiplet_05.SA_03.CU_01, inst_count, 23040.000000000000
190, GPU1.chiplet_05.SA_03.CU_02, inst_count, 21240.000000000000
191, GPU1.chiplet_05.SA_03.CU_03, inst_count, 18360.000000000000
192, GPU1.chiplet_05.SA_04.CU_00, inst_count, 20880.000000000000
193, GPU1.chiplet_05.SA_04.CU_01, inst_count, 20520.000000000000
194, GPU1.chiplet_05.SA_04.CU_02, inst_count, 20520.000000000000
195, GPU1.chiplet_05.SA_04.CU_03, inst_count, 20520.000000000000
196, GPU1.chiplet_05.SA_05.CU_00, inst_count, 23040.000000000000
197, GPU1.chiplet_05.SA_05.CU_01, inst_count, 21960.000000000000
198, GPU1.chiplet_05.SA_05.CU_02, inst_count, 19800.000000000000
199, GPU1.chiplet_05.SA_05.CU_03, inst_count, 21600.000000000000
200, GPU1.chiplet_05.SA_06.CU_00, inst_count, 23400.000000000000
201, GPU1.chiplet_05.SA_06.CU_01, inst_count, 21960.000000000000
202, GPU1.chiplet_05.SA_06.CU_02, inst_count, 23760.000000000000
203, GPU1.chiplet_05.SA_06.CU_03, inst_count, 22680.000000000000
204, GPU1.chiplet_05.SA_07.CU_00, inst_count, 22680.000000000000
205, GPU1.chiplet_05.SA_07.CU_01, inst_count, 23760.000000000000
206, GPU1.chiplet_05.SA_07.CU_02, inst_count, 22680.000000000000
207, GPU1.chiplet_05.SA_07.CU_03, inst_count, 23400.000000000000
