, where, what, value
0, driver, memory_footprint_bytes, 16830464.000000000000
1, driver, kernel_time, 0.000070391000
2, driver, total_time, 0.000436139000
3, driver, kernel_time 0, 0.000005600000
4, driver, kernel_time 1, 0.000032538000
5, driver, kernel_time 2, 0.000025909000
6, driver, kernel_time 3, 0.000006344000
7, GPU1.CommandProcessor, kernel_time, 0.000068035000
8, GPU1.CommandProcessor, kernel_time 0, 0.000005600000
9, GPU1.CommandProcessor, kernel_time 1, 0.000032538000
10, GPU1.CommandProcessor, kernel_time 2, 0.000025909000
11, GPU1.CommandProcessor, kernel_time 3, 0.000006344000
12, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000089594000
13, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.000078194000
14, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.000039860000
15, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.000008146000
16, GPU1.chiplet_00.SA_00.CU_00, inst_count, 16694.000000000000
17, GPU1.chiplet_00.SA_00.CU_01, inst_count, 16782.000000000000
18, GPU1.chiplet_00.SA_00.CU_02, inst_count, 16484.000000000000
19, GPU1.chiplet_00.SA_00.CU_03, inst_count, 16338.000000000000
20, GPU1.chiplet_00.SA_01.CU_00, inst_count, 16876.000000000000
21, GPU1.chiplet_00.SA_01.CU_01, inst_count, 16659.000000000000
22, GPU1.chiplet_00.SA_01.CU_02, inst_count, 16575.000000000000
23, GPU1.chiplet_00.SA_01.CU_03, inst_count, 17127.000000000000
24, GPU1.chiplet_00.SA_02.CU_00, inst_count, 16930.000000000000
25, GPU1.chiplet_00.SA_02.CU_01, inst_count, 16848.000000000000
26, GPU1.chiplet_00.SA_02.CU_02, inst_count, 17189.000000000000
27, GPU1.chiplet_00.SA_02.CU_03, inst_count, 16714.000000000000
28, GPU1.chiplet_00.SA_03.CU_00, inst_count, 16842.000000000000
29, GPU1.chiplet_00.SA_03.CU_01, inst_count, 16741.000000000000
30, GPU1.chiplet_00.SA_03.CU_02, inst_count, 16552.000000000000
31, GPU1.chiplet_00.SA_03.CU_03, inst_count, 16925.000000000000
