, where, what, value
0, driver, kernel_time, 0.000030570000
1, driver, total_time, 0.000101361000
2, driver, kernel_time 0, 0.000001682000
3, driver, kernel_time 1, 0.000001686000
4, driver, kernel_time 2, 0.000001668000
5, driver, kernel_time 3, 0.000001679000
6, driver, kernel_time 4, 0.000002086000
7, driver, kernel_time 5, 0.000002080000
8, driver, kernel_time 6, 0.000002076000
9, driver, kernel_time 7, 0.000001860000
10, driver, kernel_time 8, 0.000001880000
11, driver, kernel_time 9, 0.000002151000
12, driver, kernel_time 10, 0.000002130000
13, driver, kernel_time 11, 0.000001860000
14, driver, kernel_time 12, 0.000001860000
15, driver, kernel_time 13, 0.000001860000
16, driver, kernel_time 14, 0.000001860000
17, driver, kernel_time 15, 0.000002152000
18, GPU1.CommandProcessor, kernel_time, 0.000021146000
19, GPU1.CommandProcessor, kernel_time 0, 0.000001682000
20, GPU1.CommandProcessor, kernel_time 1, 0.000001686000
21, GPU1.CommandProcessor, kernel_time 2, 0.000001668000
22, GPU1.CommandProcessor, kernel_time 3, 0.000001679000
23, GPU1.CommandProcessor, kernel_time 4, 0.000002086000
24, GPU1.CommandProcessor, kernel_time 5, 0.000002080000
25, GPU1.CommandProcessor, kernel_time 6, 0.000002076000
26, GPU1.CommandProcessor, kernel_time 7, 0.000001860000
27, GPU1.CommandProcessor, kernel_time 8, 0.000001880000
28, GPU1.CommandProcessor, kernel_time 9, 0.000002151000
29, GPU1.CommandProcessor, kernel_time 10, 0.000002130000
30, GPU1.CommandProcessor, kernel_time 11, 0.000001860000
31, GPU1.CommandProcessor, kernel_time 12, 0.000001860000
32, GPU1.CommandProcessor, kernel_time 13, 0.000001860000
33, GPU1.CommandProcessor, kernel_time 14, 0.000001860000
34, GPU1.CommandProcessor, kernel_time 15, 0.000002152000
35, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000096574000
36, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.000090352000
37, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.000084430000
38, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.000078546000
39, GPU1.CommandProcessor, kernel_time (force stop) 4, 0.000072653000
40, GPU1.CommandProcessor, kernel_time (force stop) 5, 0.000066318000
41, GPU1.CommandProcessor, kernel_time (force stop) 6, 0.000060025000
42, GPU1.CommandProcessor, kernel_time (force stop) 7, 0.000053725000
43, GPU1.CommandProcessor, kernel_time (force stop) 8, 0.000047621000
44, GPU1.CommandProcessor, kernel_time (force stop) 9, 0.000041515000
45, GPU1.CommandProcessor, kernel_time (force stop) 10, 0.000035143000
46, GPU1.CommandProcessor, kernel_time (force stop) 11, 0.000028798000
47, GPU1.CommandProcessor, kernel_time (force stop) 12, 0.000022720000
48, GPU1.CommandProcessor, kernel_time (force stop) 13, 0.000016642000
49, GPU1.CommandProcessor, kernel_time (force stop) 14, 0.000010536000
50, GPU1.CommandProcessor, kernel_time (force stop) 15, 0.000004446000
51, GPU1.chiplet_00.SA_00.CU_00, inst_count, 54.000000000000
52, GPU1.chiplet_00.SA_00.CU_01, inst_count, 54.000000000000
53, GPU1.chiplet_00.SA_00.CU_02, inst_count, 54.000000000000
54, GPU1.chiplet_00.SA_00.CU_03, inst_count, 54.000000000000
55, GPU1.chiplet_00.SA_01.CU_00, inst_count, 54.000000000000
56, GPU1.chiplet_00.SA_01.CU_01, inst_count, 54.000000000000
57, GPU1.chiplet_00.SA_01.CU_02, inst_count, 54.000000000000
58, GPU1.chiplet_00.SA_01.CU_03, inst_count, 54.000000000000
59, GPU1.chiplet_00.SA_02.CU_00, inst_count, 47.000000000000
60, GPU1.chiplet_00.SA_02.CU_01, inst_count, 54.000000000000
61, GPU1.chiplet_00.SA_02.CU_02, inst_count, 54.000000000000
