, where, what, value
0, driver, kernel_time, 0.000066915000
1, driver, total_time, 0.001440766000
2, driver, kernel_time 0, 0.000001525000
3, driver, kernel_time 1, 0.000065390000
4, GPU1.CommandProcessor, kernel_time, 0.000065737000
5, GPU1.CommandProcessor, kernel_time 0, 0.000001525000
6, GPU1.CommandProcessor, kernel_time 1, 0.000065390000
7, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000755547000
8, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.000748211000
9, GPU1.chiplet_00.SA_00.CU_00, inst_count, 53420.000000000000
10, GPU1.chiplet_00.SA_00.CU_01, inst_count, 55016.000000000000
11, GPU1.chiplet_00.SA_00.CU_02, inst_count, 53672.000000000000
12, GPU1.chiplet_00.SA_00.CU_03, inst_count, 53868.000000000000
13, GPU1.chiplet_00.SA_01.CU_00, inst_count, 52664.000000000000
14, GPU1.chiplet_00.SA_01.CU_01, inst_count, 53840.000000000000
15, GPU1.chiplet_00.SA_01.CU_02, inst_count, 51516.000000000000
16, GPU1.chiplet_00.SA_01.CU_03, inst_count, 54036.000000000000
17, GPU1.chiplet_00.SA_02.CU_00, inst_count, 53116.000000000000
18, GPU1.chiplet_00.SA_02.CU_01, inst_count, 53284.000000000000
19, GPU1.chiplet_00.SA_02.CU_02, inst_count, 55160.000000000000
20, GPU1.chiplet_00.SA_02.CU_03, inst_count, 53508.000000000000
21, GPU1.chiplet_00.SA_03.CU_00, inst_count, 52304.000000000000
22, GPU1.chiplet_00.SA_03.CU_01, inst_count, 52696.000000000000
23, GPU1.chiplet_00.SA_03.CU_02, inst_count, 51912.000000000000
24, GPU1.chiplet_00.SA_03.CU_03, inst_count, 50708.000000000000
25, GPU1.chiplet_00.SA_04.CU_00, inst_count, 50512.000000000000
26, GPU1.chiplet_00.SA_04.CU_01, inst_count, 50344.000000000000
27, GPU1.chiplet_00.SA_04.CU_02, inst_count, 51688.000000000000
28, GPU1.chiplet_00.SA_04.CU_03, inst_count, 48776.000000000000
29, GPU1.chiplet_00.SA_05.CU_00, inst_count, 47012.000000000000
30, GPU1.chiplet_00.SA_05.CU_01, inst_count, 46844.000000000000
31, GPU1.chiplet_00.SA_05.CU_02, inst_count, 47432.000000000000
32, GPU1.chiplet_00.SA_05.CU_03, inst_count, 45220.000000000000
33, GPU1.chiplet_00.SA_06.CU_00, inst_count, 43260.000000000000
34, GPU1.chiplet_00.SA_06.CU_01, inst_count, 42672.000000000000
35, GPU1.chiplet_00.SA_06.CU_02, inst_count, 41552.000000000000
36, GPU1.chiplet_00.SA_06.CU_03, inst_count, 39200.000000000000
37, GPU1.chiplet_00.SA_07.CU_00, inst_count, 40572.000000000000
38, GPU1.chiplet_00.SA_07.CU_01, inst_count, 38808.000000000000
39, GPU1.chiplet_00.SA_07.CU_02, inst_count, 37408.000000000000
40, GPU1.chiplet_00.SA_07.CU_03, inst_count, 39004.000000000000
41, GPU1.chiplet_01.SA_00.CU_00, inst_count, 32116.000000000000
42, GPU1.chiplet_01.SA_00.CU_01, inst_count, 30576.000000000000
43, GPU1.chiplet_01.SA_00.CU_02, inst_count, 30128.000000000000
44, GPU1.chiplet_01.SA_00.CU_03, inst_count, 28420.000000000000
45, GPU1.chiplet_01.SA_01.CU_00, inst_count, 28616.000000000000
46, GPU1.chiplet_01.SA_01.CU_01, inst_count, 25872.000000000000
47, GPU1.chiplet_01.SA_01.CU_02, inst_count, 24472.000000000000
48, GPU1.chiplet_01.SA_01.CU_03, inst_count, 22344.000000000000
49, GPU1.chiplet_01.SA_02.CU_00, inst_count, 20972.000000000000
50, GPU1.chiplet_01.SA_02.CU_01, inst_count, 19012.000000000000
51, GPU1.chiplet_01.SA_02.CU_02, inst_count, 18200.000000000000
52, GPU1.chiplet_01.SA_02.CU_03, inst_count, 16072.000000000000
53, GPU1.chiplet_01.SA_03.CU_00, inst_count, 14308.000000000000
54, GPU1.chiplet_01.SA_03.CU_01, inst_count, 13888.000000000000
55, GPU1.chiplet_01.SA_03.CU_02, inst_count, 12712.000000000000
56, GPU1.chiplet_01.SA_03.CU_03, inst_count, 11564.000000000000
57, GPU1.chiplet_01.SA_04.CU_00, inst_count, 12740.000000000000
58, GPU1.chiplet_01.SA_04.CU_01, inst_count, 11760.000000000000
59, GPU1.chiplet_01.SA_04.CU_02, inst_count, 12712.000000000000
60, GPU1.chiplet_01.SA_04.CU_03, inst_count, 13328.000000000000
61, GPU1.chiplet_01.SA_05.CU_00, inst_count, 12348.000000000000
62, GPU1.chiplet_01.SA_05.CU_01, inst_count, 11760.000000000000
63, GPU1.chiplet_01.SA_05.CU_02, inst_count, 13076.000000000000
64, GPU1.chiplet_01.SA_05.CU_03, inst_count, 13720.000000000000
65, GPU1.chiplet_01.SA_06.CU_00, inst_count, 12544.000000000000
66, GPU1.chiplet_01.SA_06.CU_01, inst_count, 12740.000000000000
67, GPU1.chiplet_01.SA_06.CU_02, inst_count, 13720.000000000000
68, GPU1.chiplet_01.SA_06.CU_03, inst_count, 13916.000000000000
69, GPU1.chiplet_01.SA_07.CU_00, inst_count, 13524.000000000000
70, GPU1.chiplet_01.SA_07.CU_01, inst_count, 13888.000000000000
71, GPU1.chiplet_01.SA_07.CU_02, inst_count, 12936.000000000000
72, GPU1.chiplet_01.SA_07.CU_03, inst_count, 13328.000000000000
73, GPU1.chiplet_02.SA_00.CU_00, inst_count, 32844.000000000000
74, GPU1.chiplet_02.SA_00.CU_01, inst_count, 32704.000000000000
75, GPU1.chiplet_02.SA_00.CU_02, inst_count, 32312.000000000000
76, GPU1.chiplet_02.SA_00.CU_03, inst_count, 33320.000000000000
77, GPU1.chiplet_02.SA_01.CU_00, inst_count, 29764.000000000000
78, GPU1.chiplet_02.SA_01.CU_01, inst_count, 30940.000000000000
79, GPU1.chiplet_02.SA_01.CU_02, inst_count, 30772.000000000000
80, GPU1.chiplet_02.SA_01.CU_03, inst_count, 30128.000000000000
81, GPU1.chiplet_02.SA_02.CU_00, inst_count, 29764.000000000000
82, GPU1.chiplet_02.SA_02.CU_01, inst_count, 26824.000000000000
