, where, what, value
0, driver, kernel_time, 0.000224589000
1, driver, total_time, 0.000592363000
2, driver, kernel_time 0, 0.000007555000
3, driver, kernel_time 1, 0.000144681000
4, driver, kernel_time 2, 0.000065711000
5, driver, kernel_time 3, 0.000006642000
6, GPU1.CommandProcessor, kernel_time, 0.000222233000
7, GPU1.CommandProcessor, kernel_time 0, 0.000007555000
8, GPU1.CommandProcessor, kernel_time 1, 0.000144681000
9, GPU1.CommandProcessor, kernel_time 2, 0.000065711000
10, GPU1.CommandProcessor, kernel_time 3, 0.000006642000
11, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000245818000
12, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.000231255000
13, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.000080869000
14, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.000008783000
15, GPU1.chiplet_00.SA_00.CU_00, inst_count, 38523.000000000000
16, GPU1.chiplet_00.SA_00.CU_01, inst_count, 38330.000000000000
17, GPU1.chiplet_00.SA_00.CU_02, inst_count, 35993.000000000000
18, GPU1.chiplet_00.SA_00.CU_03, inst_count, 33746.000000000000
19, GPU1.chiplet_00.SA_01.CU_00, inst_count, 34329.000000000000
20, GPU1.chiplet_00.SA_01.CU_01, inst_count, 36009.000000000000
21, GPU1.chiplet_00.SA_01.CU_02, inst_count, 34571.000000000000
22, GPU1.chiplet_00.SA_01.CU_03, inst_count, 32128.000000000000
23, GPU1.chiplet_00.SA_02.CU_00, inst_count, 33963.000000000000
24, GPU1.chiplet_00.SA_02.CU_01, inst_count, 33211.000000000000
25, GPU1.chiplet_00.SA_02.CU_02, inst_count, 33111.000000000000
26, GPU1.chiplet_00.SA_02.CU_03, inst_count, 32733.000000000000
27, GPU1.chiplet_00.SA_03.CU_00, inst_count, 35262.000000000000
28, GPU1.chiplet_00.SA_03.CU_01, inst_count, 30234.000000000000
29, GPU1.chiplet_00.SA_03.CU_02, inst_count, 30999.000000000000
30, GPU1.chiplet_00.SA_03.CU_03, inst_count, 28746.000000000000
31, GPU1.chiplet_00.SA_04.CU_00, inst_count, 29699.000000000000
32, GPU1.chiplet_00.SA_04.CU_01, inst_count, 29425.000000000000
33, GPU1.chiplet_00.SA_04.CU_02, inst_count, 29781.000000000000
34, GPU1.chiplet_00.SA_04.CU_03, inst_count, 27085.000000000000
35, GPU1.chiplet_00.SA_05.CU_00, inst_count, 28539.000000000000
36, GPU1.chiplet_00.SA_05.CU_01, inst_count, 28802.000000000000
37, GPU1.chiplet_00.SA_05.CU_02, inst_count, 30062.000000000000
38, GPU1.chiplet_00.SA_05.CU_03, inst_count, 28272.000000000000
39, GPU1.chiplet_00.SA_06.CU_00, inst_count, 28427.000000000000
40, GPU1.chiplet_00.SA_06.CU_01, inst_count, 28451.000000000000
41, GPU1.chiplet_00.SA_06.CU_02, inst_count, 26875.000000000000
42, GPU1.chiplet_00.SA_06.CU_03, inst_count, 29111.000000000000
43, GPU1.chiplet_00.SA_07.CU_00, inst_count, 28880.000000000000
44, GPU1.chiplet_00.SA_07.CU_01, inst_count, 26682.000000000000
45, GPU1.chiplet_00.SA_07.CU_02, inst_count, 27511.000000000000
