, where, what, value
0, driver, kernel_time, 0.000293634000
1, driver, total_time, 0.000905953000
2, driver, kernel_time 0, 0.000151526000
3, driver, kernel_time 1, 0.000142108000
4, GPU1.CommandProcessor, kernel_time, 0.000292456000
5, GPU1.CommandProcessor, kernel_time 0, 0.000151526000
6, GPU1.CommandProcessor, kernel_time 1, 0.000142108000
7, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000431650000
8, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.000208955000
9, GPU1.chiplet_00.SA_00.CU_00, inst_count, 17394.000000000000
10, GPU1.chiplet_00.SA_00.CU_01, inst_count, 17892.000000000000
11, GPU1.chiplet_00.SA_00.CU_02, inst_count, 17506.000000000000
12, GPU1.chiplet_00.SA_00.CU_03, inst_count, 17618.000000000000
13, GPU1.chiplet_00.SA_01.CU_00, inst_count, 17680.000000000000
14, GPU1.chiplet_00.SA_01.CU_01, inst_count, 17506.000000000000
15, GPU1.chiplet_00.SA_01.CU_02, inst_count, 17612.000000000000
16, GPU1.chiplet_00.SA_01.CU_03, inst_count, 17058.000000000000
17, GPU1.chiplet_00.SA_02.CU_00, inst_count, 17612.000000000000
18, GPU1.chiplet_00.SA_02.CU_01, inst_count, 17506.000000000000
19, GPU1.chiplet_00.SA_02.CU_02, inst_count, 17830.000000000000
20, GPU1.chiplet_00.SA_02.CU_03, inst_count, 17780.000000000000
21, GPU1.chiplet_00.SA_03.CU_00, inst_count, 18228.000000000000
22, GPU1.chiplet_00.SA_03.CU_01, inst_count, 17836.000000000000
23, GPU1.chiplet_00.SA_03.CU_02, inst_count, 17114.000000000000
24, GPU1.chiplet_00.SA_03.CU_03, inst_count, 17288.000000000000
25, GPU1.chiplet_00.SA_04.CU_00, inst_count, 18060.000000000000
26, GPU1.chiplet_00.SA_04.CU_01, inst_count, 18234.000000000000
27, GPU1.chiplet_00.SA_04.CU_02, inst_count, 18172.000000000000
28, GPU1.chiplet_00.SA_04.CU_03, inst_count, 18228.000000000000
29, GPU1.chiplet_00.SA_05.CU_00, inst_count, 17152.000000000000
30, GPU1.chiplet_00.SA_05.CU_01, inst_count, 17886.000000000000
31, GPU1.chiplet_00.SA_05.CU_02, inst_count, 17618.000000000000
32, GPU1.chiplet_00.SA_05.CU_03, inst_count, 17232.000000000000
33, GPU1.chiplet_00.SA_06.CU_00, inst_count, 17338.000000000000
34, GPU1.chiplet_00.SA_06.CU_01, inst_count, 17282.000000000000
35, GPU1.chiplet_00.SA_06.CU_02, inst_count, 18166.000000000000
36, GPU1.chiplet_00.SA_06.CU_03, inst_count, 17662.000000000000
37, GPU1.chiplet_00.SA_07.CU_00, inst_count, 17226.000000000000
38, GPU1.chiplet_00.SA_07.CU_01, inst_count, 17848.000000000000
39, GPU1.chiplet_00.SA_07.CU_02, inst_count, 17668.000000000000
40, GPU1.chiplet_00.SA_07.CU_03, inst_count, 17680.000000000000
41, GPU1.chiplet_01.SA_00.CU_00, inst_count, 18148.000000000000
