, where, what, value
0, driver, kernel_time, 0.000087971000
1, driver, total_time, 0.000229056000
2, driver, kernel_time 0, 0.000029469000
3, driver, kernel_time 1, 0.000030530000
4, driver, kernel_time 2, 0.000027972000
5, GPU1.CommandProcessor, kernel_time, 0.000086204000
6, GPU1.CommandProcessor, kernel_time 0, 0.000029469000
7, GPU1.CommandProcessor, kernel_time 1, 0.000030530000
8, GPU1.CommandProcessor, kernel_time 2, 0.000027972000
9, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000140624000
10, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.000106461000
11, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.000071226000
12, GPU1.chiplet_00.SA_00.CU_00, inst_count, 73315.000000000000
13, GPU1.chiplet_00.SA_00.CU_01, inst_count, 86559.000000000000
14, GPU1.chiplet_00.SA_00.CU_02, inst_count, 77099.000000000000
15, GPU1.chiplet_00.SA_00.CU_03, inst_count, 89397.000000000000
16, GPU1.chiplet_00.SA_01.CU_00, inst_count, 75680.000000000000
17, GPU1.chiplet_00.SA_01.CU_01, inst_count, 88924.000000000000
18, GPU1.chiplet_00.SA_01.CU_02, inst_count, 70477.000000000000
19, GPU1.chiplet_00.SA_01.CU_03, inst_count, 88924.000000000000
20, GPU1.chiplet_00.SA_02.CU_00, inst_count, 74734.000000000000
21, GPU1.chiplet_00.SA_02.CU_01, inst_count, 86086.000000000000
22, GPU1.chiplet_00.SA_02.CU_02, inst_count, 72369.000000000000
23, GPU1.chiplet_00.SA_02.CU_03, inst_count, 89870.000000000000
24, GPU1.chiplet_00.SA_03.CU_00, inst_count, 75207.000000000000
25, GPU1.chiplet_00.SA_03.CU_01, inst_count, 83248.000000000000
26, GPU1.chiplet_00.SA_03.CU_02, inst_count, 72842.000000000000
27, GPU1.chiplet_00.SA_03.CU_03, inst_count, 87978.000000000000
28, GPU1.chiplet_00.SA_04.CU_00, inst_count, 71423.000000000000
29, GPU1.chiplet_00.SA_04.CU_01, inst_count, 84667.000000000000
