, where, what, value
0, driver, kernel_time, 0.000067262000
1, driver, total_time, 0.000286838000
2, driver, kernel_time 0, 0.000002873000
3, driver, kernel_time 1, 0.000003841000
4, driver, kernel_time 2, 0.000002866000
5, driver, kernel_time 3, 0.000003848000
6, driver, kernel_time 4, 0.000002866000
7, driver, kernel_time 5, 0.000003867000
8, driver, kernel_time 6, 0.000002873000
9, driver, kernel_time 7, 0.000003839000
10, driver, kernel_time 8, 0.000002887000
11, driver, kernel_time 9, 0.000003890000
12, driver, kernel_time 10, 0.000002760000
13, driver, kernel_time 11, 0.000003895000
14, driver, kernel_time 12, 0.000002788000
15, driver, kernel_time 13, 0.000003864000
16, driver, kernel_time 14, 0.000002969000
17, driver, kernel_time 15, 0.000003885000
18, driver, kernel_time 16, 0.000002778000
19, driver, kernel_time 17, 0.000003889000
20, driver, kernel_time 18, 0.000002919000
21, driver, kernel_time 19, 0.000003865000
22, GPU1.CommandProcessor, kernel_time, 0.000055482000
23, GPU1.CommandProcessor, kernel_time 0, 0.000002873000
24, GPU1.CommandProcessor, kernel_time 1, 0.000003841000
25, GPU1.CommandProcessor, kernel_time 2, 0.000002866000
26, GPU1.CommandProcessor, kernel_time 3, 0.000003848000
27, GPU1.CommandProcessor, kernel_time 4, 0.000002866000
28, GPU1.CommandProcessor, kernel_time 5, 0.000003867000
29, GPU1.CommandProcessor, kernel_time 6, 0.000002873000
30, GPU1.CommandProcessor, kernel_time 7, 0.000003839000
31, GPU1.CommandProcessor, kernel_time 8, 0.000002887000
32, GPU1.CommandProcessor, kernel_time 9, 0.000003890000
33, GPU1.CommandProcessor, kernel_time 10, 0.000002760000
34, GPU1.CommandProcessor, kernel_time 11, 0.000003895000
35, GPU1.CommandProcessor, kernel_time 12, 0.000002788000
36, GPU1.CommandProcessor, kernel_time 13, 0.000003864000
37, GPU1.CommandProcessor, kernel_time 14, 0.000002969000
38, GPU1.CommandProcessor, kernel_time 15, 0.000003885000
39, GPU1.CommandProcessor, kernel_time 16, 0.000002778000
40, GPU1.CommandProcessor, kernel_time 17, 0.000003889000
41, GPU1.CommandProcessor, kernel_time 18, 0.000002919000
42, GPU1.CommandProcessor, kernel_time 19, 0.000003865000
43, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000261032000
44, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.000253907000
45, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.000234591000
46, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.000227451000
47, GPU1.CommandProcessor, kernel_time (force stop) 4, 0.000208127000
48, GPU1.CommandProcessor, kernel_time (force stop) 5, 0.000201031000
49, GPU1.CommandProcessor, kernel_time (force stop) 6, 0.000181685000
50, GPU1.CommandProcessor, kernel_time (force stop) 7, 0.000174577000
51, GPU1.CommandProcessor, kernel_time (force stop) 8, 0.000155267000
52, GPU1.CommandProcessor, kernel_time (force stop) 9, 0.000148143000
53, GPU1.CommandProcessor, kernel_time (force stop) 10, 0.000128799000
54, GPU1.CommandProcessor, kernel_time (force stop) 11, 0.000121809000
55, GPU1.CommandProcessor, kernel_time (force stop) 12, 0.000102427000
56, GPU1.CommandProcessor, kernel_time (force stop) 13, 0.000095410000
57, GPU1.CommandProcessor, kernel_time (force stop) 14, 0.000076081000
58, GPU1.CommandProcessor, kernel_time (force stop) 15, 0.000068878000
59, GPU1.CommandProcessor, kernel_time (force stop) 16, 0.000049494000
60, GPU1.CommandProcessor, kernel_time (force stop) 17, 0.000042483000
61, GPU1.CommandProcessor, kernel_time (force stop) 18, 0.000023125000
62, GPU1.CommandProcessor, kernel_time (force stop) 19, 0.000015966000
63, GPU1.chiplet_00.SA_00.CU_00, inst_count, 17840.000000000000
64, GPU1.chiplet_00.SA_00.CU_01, inst_count, 17840.000000000000
65, GPU1.chiplet_00.SA_00.CU_02, inst_count, 17840.000000000000
66, GPU1.chiplet_00.SA_00.CU_03, inst_count, 17840.000000000000
67, GPU1.chiplet_00.SA_01.CU_00, inst_count, 17840.000000000000
68, GPU1.chiplet_00.SA_01.CU_01, inst_count, 17840.000000000000
69, GPU1.chiplet_00.SA_01.CU_02, inst_count, 17840.000000000000
70, GPU1.chiplet_00.SA_01.CU_03, inst_count, 17840.000000000000
71, GPU1.chiplet_00.SA_02.CU_00, inst_count, 17840.000000000000
72, GPU1.chiplet_00.SA_02.CU_01, inst_count, 17840.000000000000
73, GPU1.chiplet_00.SA_02.CU_02, inst_count, 17840.000000000000
74, GPU1.chiplet_00.SA_02.CU_03, inst_count, 17840.000000000000
