, where, what, value
0, driver, memory_footprint_bytes, 18944000.000000000000
1, driver, kernel_time, 0.000293742000
2, driver, total_time, 0.003280263000
3, driver, kernel_time 0, 0.000016082000
4, driver, kernel_time 1, 0.000133237000
5, driver, kernel_time 2, 0.000011626000
6, driver, kernel_time 3, 0.000132797000
7, GPU1.CommandProcessor, kernel_time, 0.000291386000
8, GPU1.CommandProcessor, kernel_time 0, 0.000016082000
9, GPU1.CommandProcessor, kernel_time 1, 0.000133237000
10, GPU1.CommandProcessor, kernel_time 2, 0.000011626000
11, GPU1.CommandProcessor, kernel_time 3, 0.000132797000
12, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.002529618000
13, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.002485029000
14, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.000898046000
15, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.000857911000
16, GPU1.chiplet_00.SA_00.CU_00, inst_count, 486636.000000000000
17, GPU1.chiplet_00.SA_00.CU_01, inst_count, 485676.000000000000
18, GPU1.chiplet_00.SA_00.CU_02, inst_count, 481554.000000000000
19, GPU1.chiplet_00.SA_00.CU_03, inst_count, 476802.000000000000
20, GPU1.chiplet_00.SA_01.CU_00, inst_count, 474735.000000000000
21, GPU1.chiplet_00.SA_01.CU_01, inst_count, 471303.000000000000
22, GPU1.chiplet_00.SA_01.CU_02, inst_count, 468021.000000000000
23, GPU1.chiplet_00.SA_01.CU_03, inst_count, 464571.000000000000
24, GPU1.chiplet_00.SA_02.CU_00, inst_count, 459648.000000000000
25, GPU1.chiplet_00.SA_02.CU_01, inst_count, 454872.000000000000
26, GPU1.chiplet_00.SA_02.CU_02, inst_count, 449226.000000000000
27, GPU1.chiplet_00.SA_02.CU_03, inst_count, 442122.000000000000
28, GPU1.chiplet_00.SA_03.CU_00, inst_count, 438210.000000000000
29, GPU1.chiplet_00.SA_03.CU_01, inst_count, 436608.000000000000
30, GPU1.chiplet_00.SA_03.CU_02, inst_count, 431064.000000000000
31, GPU1.chiplet_00.SA_03.CU_03, inst_count, 424011.000000000000
32, GPU1.chiplet_00.SA_04.CU_00, inst_count, 406314.000000000000
33, GPU1.chiplet_00.SA_04.CU_01, inst_count, 392130.000000000000
34, GPU1.chiplet_00.SA_04.CU_02, inst_count, 380514.000000000000
35, GPU1.chiplet_00.SA_04.CU_03, inst_count, 370239.000000000000
36, GPU1.chiplet_00.SA_05.CU_00, inst_count, 369969.000000000000
37, GPU1.chiplet_00.SA_05.CU_01, inst_count, 367050.000000000000
38, GPU1.chiplet_00.SA_05.CU_02, inst_count, 367590.000000000000
39, GPU1.chiplet_00.SA_05.CU_03, inst_count, 367902.000000000000
40, GPU1.chiplet_00.SA_06.CU_00, inst_count, 366891.000000000000
41, GPU1.chiplet_00.SA_06.CU_01, inst_count, 367269.000000000000
42, GPU1.chiplet_00.SA_06.CU_02, inst_count, 367194.000000000000
43, GPU1.chiplet_00.SA_06.CU_03, inst_count, 365994.000000000000
44, GPU1.chiplet_00.SA_07.CU_00, inst_count, 348768.000000000000
45, GPU1.chiplet_00.SA_07.CU_01, inst_count, 224361.000000000000
46, GPU1.chiplet_00.SA_07.CU_02, inst_count, 40089.000000000000
47, GPU1.chiplet_00.SA_07.CU_03, inst_count, 39354.000000000000
48, GPU1.chiplet_01.SA_00.CU_00, inst_count, 40596.000000000000
49, GPU1.chiplet_01.SA_00.CU_01, inst_count, 37572.000000000000
50, GPU1.chiplet_01.SA_00.CU_02, inst_count, 39018.000000000000
51, GPU1.chiplet_01.SA_00.CU_03, inst_count, 38394.000000000000
52, GPU1.chiplet_01.SA_01.CU_00, inst_count, 40275.000000000000
53, GPU1.chiplet_01.SA_01.CU_01, inst_count, 38952.000000000000
54, GPU1.chiplet_01.SA_01.CU_02, inst_count, 39150.000000000000
55, GPU1.chiplet_01.SA_01.CU_03, inst_count, 39774.000000000000
56, GPU1.chiplet_01.SA_02.CU_00, inst_count, 38952.000000000000
57, GPU1.chiplet_01.SA_02.CU_01, inst_count, 39312.000000000000
58, GPU1.chiplet_01.SA_02.CU_02, inst_count, 39114.000000000000
59, GPU1.chiplet_01.SA_02.CU_03, inst_count, 38380.000000000000
60, GPU1.chiplet_01.SA_03.CU_00, inst_count, 39936.000000000000
61, GPU1.chiplet_01.SA_03.CU_01, inst_count, 38358.000000000000
62, GPU1.chiplet_01.SA_03.CU_02, inst_count, 37368.000000000000
63, GPU1.chiplet_01.SA_03.CU_03, inst_count, 39408.000000000000
64, GPU1.chiplet_01.SA_04.CU_00, inst_count, 39342.000000000000
65, GPU1.chiplet_01.SA_04.CU_01, inst_count, 37830.000000000000
66, GPU1.chiplet_01.SA_04.CU_02, inst_count, 40353.000000000000
67, GPU1.chiplet_01.SA_04.CU_03, inst_count, 37764.000000000000
68, GPU1.chiplet_01.SA_05.CU_00, inst_count, 39333.000000000000
69, GPU1.chiplet_01.SA_05.CU_01, inst_count, 37698.000000000000
70, GPU1.chiplet_01.SA_05.CU_02, inst_count, 39522.000000000000
71, GPU1.chiplet_01.SA_05.CU_03, inst_count, 38577.000000000000
72, GPU1.chiplet_01.SA_06.CU_00, inst_count, 37698.000000000000
73, GPU1.chiplet_01.SA_06.CU_01, inst_count, 39210.000000000000
74, GPU1.chiplet_01.SA_06.CU_02, inst_count, 37698.000000000000
75, GPU1.chiplet_01.SA_06.CU_03, inst_count, 35614.000000000000
76, GPU1.chiplet_01.SA_07.CU_00, inst_count, 36765.000000000000
77, GPU1.chiplet_01.SA_07.CU_01, inst_count, 35631.000000000000
78, GPU1.chiplet_01.SA_07.CU_02, inst_count, 36576.000000000000
79, GPU1.chiplet_01.SA_07.CU_03, inst_count, 35064.000000000000
80, GPU1.chiplet_02.SA_00.CU_00, inst_count, 36198.000000000000
81, GPU1.chiplet_02.SA_00.CU_01, inst_count, 33552.000000000000
82, GPU1.chiplet_02.SA_00.CU_02, inst_count, 33552.000000000000
83, GPU1.chiplet_02.SA_00.CU_03, inst_count, 34308.000000000000
84, GPU1.chiplet_02.SA_01.CU_00, inst_count, 35631.000000000000
85, GPU1.chiplet_02.SA_01.CU_01, inst_count, 33552.000000000000
86, GPU1.chiplet_02.SA_01.CU_02, inst_count, 35442.000000000000
87, GPU1.chiplet_02.SA_01.CU_03, inst_count, 33552.000000000000
88, GPU1.chiplet_02.SA_02.CU_00, inst_count, 37332.000000000000
89, GPU1.chiplet_02.SA_02.CU_01, inst_count, 35442.000000000000
90, GPU1.chiplet_02.SA_02.CU_02, inst_count, 35442.000000000000
91, GPU1.chiplet_02.SA_02.CU_03, inst_count, 36576.000000000000
92, GPU1.chiplet_02.SA_03.CU_00, inst_count, 36576.000000000000
93, GPU1.chiplet_02.SA_03.CU_01, inst_count, 35064.000000000000
