, where, what, value
0, driver, memory_footprint_bytes, 134340608.000000000000
1, driver, kernel_time, 0.003076640000
2, driver, total_time, 0.011389520000
3, driver, kernel_time 0, 0.000302115000
4, driver, kernel_time 1, 0.000308340000
5, driver, kernel_time 2, 0.000307752000
6, driver, kernel_time 3, 0.000308067000
7, driver, kernel_time 4, 0.000308655000
8, driver, kernel_time 5, 0.000308679000
9, driver, kernel_time 6, 0.000308486000
10, driver, kernel_time 7, 0.000308483000
11, driver, kernel_time 8, 0.000307618000
12, driver, kernel_time 9, 0.000308445000
13, GPU1.CommandProcessor, kernel_time, 0.003070750000
14, GPU1.CommandProcessor, kernel_time 0, 0.000302115000
15, GPU1.CommandProcessor, kernel_time 1, 0.000308340000
16, GPU1.CommandProcessor, kernel_time 2, 0.000307752000
17, GPU1.CommandProcessor, kernel_time 3, 0.000308067000
18, GPU1.CommandProcessor, kernel_time 4, 0.000308655000
19, GPU1.CommandProcessor, kernel_time 5, 0.000308679000
20, GPU1.CommandProcessor, kernel_time 6, 0.000308486000
21, GPU1.CommandProcessor, kernel_time 7, 0.000308483000
22, GPU1.CommandProcessor, kernel_time 8, 0.000307618000
23, GPU1.CommandProcessor, kernel_time 9, 0.000308445000
24, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.005934847000
25, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.005617552000
26, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.005294030000
27, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.004971093000
28, GPU1.CommandProcessor, kernel_time (force stop) 4, 0.004647845000
29, GPU1.CommandProcessor, kernel_time (force stop) 5, 0.004323996000
30, GPU1.CommandProcessor, kernel_time (force stop) 6, 0.004000134000
31, GPU1.CommandProcessor, kernel_time (force stop) 7, 0.003676461000
32, GPU1.CommandProcessor, kernel_time (force stop) 8, 0.003352783000
33, GPU1.CommandProcessor, kernel_time (force stop) 9, 0.003029969000
34, GPU1.chiplet_00.SA_00.CU_00, inst_count, 1511901.000000000000
35, GPU1.chiplet_00.SA_00.CU_01, inst_count, 1512540.000000000000
36, GPU1.chiplet_00.SA_00.CU_02, inst_count, 1518006.000000000000
37, GPU1.chiplet_00.SA_00.CU_03, inst_count, 1511452.000000000000
38, GPU1.chiplet_00.SA_01.CU_00, inst_count, 1509258.000000000000
39, GPU1.chiplet_00.SA_01.CU_01, inst_count, 1519029.000000000000
40, GPU1.chiplet_00.SA_01.CU_02, inst_count, 1511912.000000000000
41, GPU1.chiplet_00.SA_01.CU_03, inst_count, 1513437.000000000000
42, GPU1.chiplet_00.SA_02.CU_00, inst_count, 1514557.000000000000
43, GPU1.chiplet_00.SA_02.CU_01, inst_count, 1515343.000000000000
44, GPU1.chiplet_00.SA_02.CU_02, inst_count, 1515948.000000000000
45, GPU1.chiplet_00.SA_02.CU_03, inst_count, 1512917.000000000000
46, GPU1.chiplet_00.SA_03.CU_00, inst_count, 1512591.000000000000
47, GPU1.chiplet_00.SA_03.CU_01, inst_count, 1513956.000000000000
48, GPU1.chiplet_00.SA_03.CU_02, inst_count, 1510066.000000000000
49, GPU1.chiplet_00.SA_03.CU_03, inst_count, 1513882.000000000000
50, GPU1.chiplet_00.SA_04.CU_00, inst_count, 1511745.000000000000
51, GPU1.chiplet_00.SA_04.CU_01, inst_count, 1512760.000000000000
52, GPU1.chiplet_00.SA_04.CU_02, inst_count, 1519182.000000000000
53, GPU1.chiplet_00.SA_04.CU_03, inst_count, 1514128.000000000000
54, GPU1.chiplet_00.SA_05.CU_00, inst_count, 1513528.000000000000
55, GPU1.chiplet_00.SA_05.CU_01, inst_count, 1514476.000000000000
56, GPU1.chiplet_00.SA_05.CU_02, inst_count, 1513402.000000000000
57, GPU1.chiplet_00.SA_05.CU_03, inst_count, 1509405.000000000000
58, GPU1.chiplet_00.SA_06.CU_00, inst_count, 1510051.000000000000
59, GPU1.chiplet_00.SA_06.CU_01, inst_count, 1509604.000000000000
