, where, what, value
0, driver, memory_footprint_bytes, 402694144.000000000000
1, driver, kernel_time, 0.001039170000
2, driver, total_time, 0.028349303000
3, driver, kernel_time 0, 0.000279950000
4, driver, kernel_time 1, 0.000312219000
5, driver, kernel_time 2, 0.000447001000
6, GPU1.CommandProcessor, kernel_time, 0.001037403000
7, GPU1.CommandProcessor, kernel_time 0, 0.000279950000
8, GPU1.CommandProcessor, kernel_time 1, 0.000312219000
9, GPU1.CommandProcessor, kernel_time 2, 0.000447001000
10, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.011993118000
11, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.006236750000
12, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.005888188000
13, GPU1.chiplet_00.SA_00.CU_00, inst_count, 368533.000000000000
14, GPU1.chiplet_00.SA_00.CU_01, inst_count, 351181.000000000000
15, GPU1.chiplet_00.SA_00.CU_02, inst_count, 372161.000000000000
16, GPU1.chiplet_00.SA_00.CU_03, inst_count, 369785.000000000000
17, GPU1.chiplet_00.SA_01.CU_00, inst_count, 366149.000000000000
18, GPU1.chiplet_00.SA_01.CU_01, inst_count, 355209.000000000000
19, GPU1.chiplet_00.SA_01.CU_02, inst_count, 356433.000000000000
20, GPU1.chiplet_00.SA_01.CU_03, inst_count, 347801.000000000000
21, GPU1.chiplet_00.SA_02.CU_00, inst_count, 381789.000000000000
22, GPU1.chiplet_00.SA_02.CU_01, inst_count, 361817.000000000000
23, GPU1.chiplet_00.SA_02.CU_02, inst_count, 342677.000000000000
24, GPU1.chiplet_00.SA_02.CU_03, inst_count, 349233.000000000000
25, GPU1.chiplet_00.SA_03.CU_00, inst_count, 360753.000000000000
26, GPU1.chiplet_00.SA_03.CU_01, inst_count, 378013.000000000000
27, GPU1.chiplet_00.SA_03.CU_02, inst_count, 351033.000000000000
28, GPU1.chiplet_00.SA_03.CU_03, inst_count, 357805.000000000000
29, GPU1.chiplet_00.SA_04.CU_00, inst_count, 360801.000000000000
30, GPU1.chiplet_00.SA_04.CU_01, inst_count, 358625.000000000000
31, GPU1.chiplet_00.SA_04.CU_02, inst_count, 337813.000000000000
32, GPU1.chiplet_00.SA_04.CU_03, inst_count, 356453.000000000000
33, GPU1.chiplet_00.SA_05.CU_00, inst_count, 383137.000000000000
34, GPU1.chiplet_00.SA_05.CU_01, inst_count, 342241.000000000000
35, GPU1.chiplet_00.SA_05.CU_02, inst_count, 356173.000000000000
36, GPU1.chiplet_00.SA_05.CU_03, inst_count, 378321.000000000000
37, GPU1.chiplet_00.SA_06.CU_00, inst_count, 333021.000000000000
38, GPU1.chiplet_00.SA_06.CU_01, inst_count, 346857.000000000000
39, GPU1.chiplet_00.SA_06.CU_02, inst_count, 356413.000000000000
40, GPU1.chiplet_00.SA_06.CU_03, inst_count, 339305.000000000000
41, GPU1.chiplet_00.SA_07.CU_00, inst_count, 364353.000000000000
42, GPU1.chiplet_00.SA_07.CU_01, inst_count, 344569.000000000000
43, GPU1.chiplet_00.SA_07.CU_02, inst_count, 354445.000000000000
44, GPU1.chiplet_00.SA_07.CU_03, inst_count, 365157.000000000000
45, GPU1.chiplet_01.SA_00.CU_00, inst_count, 370441.000000000000
46, GPU1.chiplet_01.SA_00.CU_01, inst_count, 378201.000000000000
47, GPU1.chiplet_01.SA_00.CU_02, inst_count, 352921.000000000000
48, GPU1.chiplet_01.SA_00.CU_03, inst_count, 381185.000000000000
49, GPU1.chiplet_01.SA_01.CU_00, inst_count, 382317.000000000000
50, GPU1.chiplet_01.SA_01.CU_01, inst_count, 363597.000000000000
51, GPU1.chiplet_01.SA_01.CU_02, inst_count, 378417.000000000000
52, GPU1.chiplet_01.SA_01.CU_03, inst_count, 385737.000000000000
53, GPU1.chiplet_01.SA_02.CU_00, inst_count, 379097.000000000000
54, GPU1.chiplet_01.SA_02.CU_01, inst_count, 366641.000000000000
55, GPU1.chiplet_01.SA_02.CU_02, inst_count, 358605.000000000000
56, GPU1.chiplet_01.SA_02.CU_03, inst_count, 351593.000000000000
57, GPU1.chiplet_01.SA_03.CU_00, inst_count, 353425.000000000000
58, GPU1.chiplet_01.SA_03.CU_01, inst_count, 358721.000000000000
59, GPU1.chiplet_01.SA_03.CU_02, inst_count, 357429.000000000000
60, GPU1.chiplet_01.SA_03.CU_03, inst_count, 357505.000000000000
61, GPU1.chiplet_01.SA_04.CU_00, inst_count, 349861.000000000000
62, GPU1.chiplet_01.SA_04.CU_01, inst_count, 365381.000000000000
63, GPU1.chiplet_01.SA_04.CU_02, inst_count, 342813.000000000000
64, GPU1.chiplet_01.SA_04.CU_03, inst_count, 348197.000000000000
65, GPU1.chiplet_01.SA_05.CU_00, inst_count, 357965.000000000000
66, GPU1.chiplet_01.SA_05.CU_01, inst_count, 367777.000000000000
67, GPU1.chiplet_01.SA_05.CU_02, inst_count, 338353.000000000000
68, GPU1.chiplet_01.SA_05.CU_03, inst_count, 347469.000000000000
69, GPU1.chiplet_01.SA_06.CU_00, inst_count, 353673.000000000000
70, GPU1.chiplet_01.SA_06.CU_01, inst_count, 338201.000000000000
71, GPU1.chiplet_01.SA_06.CU_02, inst_count, 361237.000000000000
72, GPU1.chiplet_01.SA_06.CU_03, inst_count, 341689.000000000000
73, GPU1.chiplet_01.SA_07.CU_00, inst_count, 338397.000000000000
74, GPU1.chiplet_01.SA_07.CU_01, inst_count, 344701.000000000000
75, GPU1.chiplet_01.SA_07.CU_02, inst_count, 345181.000000000000
76, GPU1.chiplet_01.SA_07.CU_03, inst_count, 347509.000000000000
77, GPU1.chiplet_02.SA_00.CU_00, inst_count, 367469.000000000000
78, GPU1.chiplet_02.SA_00.CU_01, inst_count, 382745.000000000000
79, GPU1.chiplet_02.SA_00.CU_02, inst_count, 347381.000000000000
80, GPU1.chiplet_02.SA_00.CU_03, inst_count, 375085.000000000000
81, GPU1.chiplet_02.SA_01.CU_00, inst_count, 358781.000000000000
82, GPU1.chiplet_02.SA_01.CU_01, inst_count, 355157.000000000000
