, where, what, value
0, driver, memory_footprint_bytes, 13320192.000000000000
1, driver, kernel_time, 0.000832119000
2, driver, total_time, 0.001672987000
3, driver, kernel_time 0, 0.000016615000
4, driver, kernel_time 1, 0.000014893000
5, driver, kernel_time 2, 0.000014701000
6, driver, kernel_time 3, 0.000013875000
7, driver, kernel_time 4, 0.000014047000
8, driver, kernel_time 5, 0.000013016000
9, driver, kernel_time 6, 0.000014060000
10, driver, kernel_time 7, 0.000014710000
11, driver, kernel_time 8, 0.000013490000
12, driver, kernel_time 9, 0.000013852000
13, driver, kernel_time 10, 0.000013322000
14, driver, kernel_time 11, 0.000013809000
15, driver, kernel_time 12, 0.000013321000
16, driver, kernel_time 13, 0.000013249000
17, driver, kernel_time 14, 0.000014108000
18, driver, kernel_time 15, 0.000013968000
19, driver, kernel_time 16, 0.000012791000
20, driver, kernel_time 17, 0.000012894000
21, driver, kernel_time 18, 0.000012349000
22, driver, kernel_time 19, 0.000013482000
23, driver, kernel_time 20, 0.000013612000
24, driver, kernel_time 21, 0.000013926000
25, driver, kernel_time 22, 0.000013791000
26, driver, kernel_time 23, 0.000012792000
27, driver, kernel_time 24, 0.000013880000
28, driver, kernel_time 25, 0.000012957000
29, driver, kernel_time 26, 0.000014429000
30, driver, kernel_time 27, 0.000014189000
31, driver, kernel_time 28, 0.000014014000
32, driver, kernel_time 29, 0.000014201000
33, driver, kernel_time 30, 0.000014368000
34, driver, kernel_time 31, 0.000014078000
35, driver, kernel_time 32, 0.000014484000
36, driver, kernel_time 33, 0.000014297000
37, driver, kernel_time 34, 0.000013975000
38, driver, kernel_time 35, 0.000012974000
39, driver, kernel_time 36, 0.000014139000
40, driver, kernel_time 37, 0.000013865000
41, driver, kernel_time 38, 0.000013540000
42, driver, kernel_time 39, 0.000014068000
43, driver, kernel_time 40, 0.000014371000
44, driver, kernel_time 41, 0.000014041000
45, driver, kernel_time 42, 0.000013392000
46, driver, kernel_time 43, 0.000014423000
47, driver, kernel_time 44, 0.000012997000
48, driver, kernel_time 45, 0.000013893000
49, driver, kernel_time 46, 0.000014130000
50, driver, kernel_time 47, 0.000013772000
51, driver, kernel_time 48, 0.000014200000
52, driver, kernel_time 49, 0.000014173000
53, driver, kernel_time 50, 0.000013886000
54, driver, kernel_time 51, 0.000014150000
55, driver, kernel_time 52, 0.000012933000
56, driver, kernel_time 53, 0.000014504000
57, driver, kernel_time 54, 0.000014470000
58, driver, kernel_time 55, 0.000012940000
59, driver, kernel_time 56, 0.000013356000
60, driver, kernel_time 57, 0.000014538000
61, driver, kernel_time 58, 0.000013901000
62, driver, kernel_time 59, 0.000013918000
63, GPU1.CommandProcessor, kernel_time, 0.000796779000
64, GPU1.CommandProcessor, kernel_time 0, 0.000016615000
65, GPU1.CommandProcessor, kernel_time 1, 0.000014893000
66, GPU1.CommandProcessor, kernel_time 2, 0.000014701000
67, GPU1.CommandProcessor, kernel_time 3, 0.000013875000
68, GPU1.CommandProcessor, kernel_time 4, 0.000014047000
69, GPU1.CommandProcessor, kernel_time 5, 0.000013016000
70, GPU1.CommandProcessor, kernel_time 6, 0.000014060000
71, GPU1.CommandProcessor, kernel_time 7, 0.000014710000
72, GPU1.CommandProcessor, kernel_time 8, 0.000013490000
73, GPU1.CommandProcessor, kernel_time 9, 0.000013852000
74, GPU1.CommandProcessor, kernel_time 10, 0.000013322000
75, GPU1.CommandProcessor, kernel_time 11, 0.000013809000
76, GPU1.CommandProcessor, kernel_time 12, 0.000013321000
77, GPU1.CommandProcessor, kernel_time 13, 0.000013249000
78, GPU1.CommandProcessor, kernel_time 14, 0.000014108000
79, GPU1.CommandProcessor, kernel_time 15, 0.000013968000
80, GPU1.CommandProcessor, kernel_time 16, 0.000012791000
81, GPU1.CommandProcessor, kernel_time 17, 0.000012894000
82, GPU1.CommandProcessor, kernel_time 18, 0.000012349000
