, where, what, value
0, driver, memory_footprint_bytes, 536895488.000000000000
1, driver, kernel_time, 0.000600722000
2, driver, total_time, 0.044213081000
3, driver, kernel_time 0, 0.000300070000
4, driver, kernel_time 1, 0.000300652000
5, GPU1.CommandProcessor, kernel_time, 0.000599544000
6, GPU1.CommandProcessor, kernel_time 0, 0.000300070000
7, GPU1.CommandProcessor, kernel_time 1, 0.000300652000
8, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.022408081000
9, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.022060981000
10, GPU1.chiplet_00.SA_00.CU_00, inst_count, 338016.000000000000
11, GPU1.chiplet_00.SA_00.CU_01, inst_count, 333528.000000000000
12, GPU1.chiplet_00.SA_00.CU_02, inst_count, 326016.000000000000
13, GPU1.chiplet_00.SA_00.CU_03, inst_count, 330696.000000000000
14, GPU1.chiplet_00.SA_01.CU_00, inst_count, 327480.000000000000
15, GPU1.chiplet_00.SA_01.CU_01, inst_count, 340032.000000000000
16, GPU1.chiplet_00.SA_01.CU_02, inst_count, 324456.000000000000
17, GPU1.chiplet_00.SA_01.CU_03, inst_count, 320424.000000000000
18, GPU1.chiplet_00.SA_02.CU_00, inst_count, 323496.000000000000
19, GPU1.chiplet_00.SA_02.CU_01, inst_count, 335208.000000000000
20, GPU1.chiplet_00.SA_02.CU_02, inst_count, 322368.000000000000
21, GPU1.chiplet_00.SA_02.CU_03, inst_count, 330000.000000000000
22, GPU1.chiplet_00.SA_03.CU_00, inst_count, 325056.000000000000
23, GPU1.chiplet_00.SA_03.CU_01, inst_count, 313176.000000000000
24, GPU1.chiplet_00.SA_03.CU_02, inst_count, 318432.000000000000
25, GPU1.chiplet_00.SA_03.CU_03, inst_count, 323016.000000000000
26, GPU1.chiplet_00.SA_04.CU_00, inst_count, 324960.000000000000
27, GPU1.chiplet_00.SA_04.CU_01, inst_count, 325632.000000000000
28, GPU1.chiplet_00.SA_04.CU_02, inst_count, 325176.000000000000
29, GPU1.chiplet_00.SA_04.CU_03, inst_count, 325872.000000000000
30, GPU1.chiplet_00.SA_05.CU_00, inst_count, 320472.000000000000
31, GPU1.chiplet_00.SA_05.CU_01, inst_count, 318360.000000000000
32, GPU1.chiplet_00.SA_05.CU_02, inst_count, 317952.000000000000
33, GPU1.chiplet_00.SA_05.CU_03, inst_count, 314784.000000000000
34, GPU1.chiplet_00.SA_06.CU_00, inst_count, 315792.000000000000
35, GPU1.chiplet_00.SA_06.CU_01, inst_count, 312240.000000000000
36, GPU1.chiplet_00.SA_06.CU_02, inst_count, 320856.000000000000
37, GPU1.chiplet_00.SA_06.CU_03, inst_count, 321192.000000000000
38, GPU1.chiplet_00.SA_07.CU_00, inst_count, 322632.000000000000
39, GPU1.chiplet_00.SA_07.CU_01, inst_count, 312648.000000000000
40, GPU1.chiplet_00.SA_07.CU_02, inst_count, 313368.000000000000
41, GPU1.chiplet_00.SA_07.CU_03, inst_count, 320376.000000000000
42, GPU1.chiplet_01.SA_00.CU_00, inst_count, 327912.000000000000
43, GPU1.chiplet_01.SA_00.CU_01, inst_count, 323520.000000000000
44, GPU1.chiplet_01.SA_00.CU_02, inst_count, 326472.000000000000
45, GPU1.chiplet_01.SA_00.CU_03, inst_count, 325512.000000000000
46, GPU1.chiplet_01.SA_01.CU_00, inst_count, 325344.000000000000
47, GPU1.chiplet_01.SA_01.CU_01, inst_count, 325272.000000000000
48, GPU1.chiplet_01.SA_01.CU_02, inst_count, 331128.000000000000
49, GPU1.chiplet_01.SA_01.CU_03, inst_count, 332976.000000000000
50, GPU1.chiplet_01.SA_02.CU_00, inst_count, 331776.000000000000
51, GPU1.chiplet_01.SA_02.CU_01, inst_count, 323640.000000000000
52, GPU1.chiplet_01.SA_02.CU_02, inst_count, 326400.000000000000
53, GPU1.chiplet_01.SA_02.CU_03, inst_count, 318264.000000000000
54, GPU1.chiplet_01.SA_03.CU_00, inst_count, 316920.000000000000
55, GPU1.chiplet_01.SA_03.CU_01, inst_count, 312696.000000000000
56, GPU1.chiplet_01.SA_03.CU_02, inst_count, 319224.000000000000
57, GPU1.chiplet_01.SA_03.CU_03, inst_count, 313968.000000000000
58, GPU1.chiplet_01.SA_04.CU_00, inst_count, 322344.000000000000
59, GPU1.chiplet_01.SA_04.CU_01, inst_count, 319152.000000000000
60, GPU1.chiplet_01.SA_04.CU_02, inst_count, 322632.000000000000
61, GPU1.chiplet_01.SA_04.CU_03, inst_count, 329088.000000000000
62, GPU1.chiplet_01.SA_05.CU_00, inst_count, 325584.000000000000
63, GPU1.chiplet_01.SA_05.CU_01, inst_count, 319032.000000000000
64, GPU1.chiplet_01.SA_05.CU_02, inst_count, 321576.000000000000
65, GPU1.chiplet_01.SA_05.CU_03, inst_count, 318456.000000000000
66, GPU1.chiplet_01.SA_06.CU_00, inst_count, 315288.000000000000
67, GPU1.chiplet_01.SA_06.CU_01, inst_count, 324624.000000000000
68, GPU1.chiplet_01.SA_06.CU_02, inst_count, 319032.000000000000
69, GPU1.chiplet_01.SA_06.CU_03, inst_count, 313464.000000000000
70, GPU1.chiplet_01.SA_07.CU_00, inst_count, 314736.000000000000
71, GPU1.chiplet_01.SA_07.CU_01, inst_count, 321768.000000000000
72, GPU1.chiplet_01.SA_07.CU_02, inst_count, 326928.000000000000
73, GPU1.chiplet_01.SA_07.CU_03, inst_count, 316872.000000000000
74, GPU1.chiplet_02.SA_00.CU_00, inst_count, 332232.000000000000
75, GPU1.chiplet_02.SA_00.CU_01, inst_count, 329040.000000000000
76, GPU1.chiplet_02.SA_00.CU_02, inst_count, 319272.000000000000
77, GPU1.chiplet_02.SA_00.CU_03, inst_count, 327048.000000000000
78, GPU1.chiplet_02.SA_01.CU_00, inst_count, 323976.000000000000
79, GPU1.chiplet_02.SA_01.CU_01, inst_count, 319056.000000000000
80, GPU1.chiplet_02.SA_01.CU_02, inst_count, 331344.000000000000
81, GPU1.chiplet_02.SA_01.CU_03, inst_count, 325440.000000000000
82, GPU1.chiplet_02.SA_02.CU_00, inst_count, 326064.000000000000
83, GPU1.chiplet_02.SA_02.CU_01, inst_count, 321576.000000000000
84, GPU1.chiplet_02.SA_02.CU_02, inst_count, 323112.000000000000
85, GPU1.chiplet_02.SA_02.CU_03, inst_count, 321552.000000000000
86, GPU1.chiplet_02.SA_03.CU_00, inst_count, 312816.000000000000
87, GPU1.chiplet_02.SA_03.CU_01, inst_count, 325104.000000000000
88, GPU1.chiplet_02.SA_03.CU_02, inst_count, 321288.000000000000
89, GPU1.chiplet_02.SA_03.CU_03, inst_count, 312360.000000000000
90, GPU1.chiplet_02.SA_04.CU_00, inst_count, 321432.000000000000
91, GPU1.chiplet_02.SA_04.CU_01, inst_count, 326400.000000000000
92, GPU1.chiplet_02.SA_04.CU_02, inst_count, 317952.000000000000
93, GPU1.chiplet_02.SA_04.CU_03, inst_count, 311640.000000000000
94, GPU1.chiplet_02.SA_05.CU_00, inst_count, 323640.000000000000
95, GPU1.chiplet_02.SA_05.CU_01, inst_count, 324768.000000000000
96, GPU1.chiplet_02.SA_05.CU_02, inst_count, 323976.000000000000
97, GPU1.chiplet_02.SA_05.CU_03, inst_count, 319872.000000000000
98, GPU1.chiplet_02.SA_06.CU_00, inst_count, 322944.000000000000
99, GPU1.chiplet_02.SA_06.CU_01, inst_count, 319464.000000000000
100, GPU1.chiplet_02.SA_06.CU_02, inst_count, 320544.000000000000
101, GPU1.chiplet_02.SA_06.CU_03, inst_count, 318816.000000000000
102, GPU1.chiplet_02.SA_07.CU_00, inst_count, 320232.000000000000
103, GPU1.chiplet_02.SA_07.CU_01, inst_count, 313128.000000000000
104, GPU1.chiplet_02.SA_07.CU_02, inst_count, 322824.000000000000
105, GPU1.chiplet_02.SA_07.CU_03, inst_count, 322968.000000000000
106, GPU1.chiplet_03.SA_00.CU_00, inst_count, 325200.000000000000
107, GPU1.chiplet_03.SA_00.CU_01, inst_count, 315312.000000000000
108, GPU1.chiplet_03.SA_00.CU_02, inst_count, 329352.000000000000
109, GPU1.chiplet_03.SA_00.CU_03, inst_count, 332904.000000000000
110, GPU1.chiplet_03.SA_01.CU_00, inst_count, 317256.000000000000
111, GPU1.chiplet_03.SA_01.CU_01, inst_count, 319536.000000000000
112, GPU1.chiplet_03.SA_01.CU_02, inst_count, 319200.000000000000
113, GPU1.chiplet_03.SA_01.CU_03, inst_count, 331008.000000000000
114, GPU1.chiplet_03.SA_02.CU_00, inst_count, 323016.000000000000
115, GPU1.chiplet_03.SA_02.CU_01, inst_count, 322128.000000000000
116, GPU1.chiplet_03.SA_02.CU_02, inst_count, 322728.000000000000
117, GPU1.chiplet_03.SA_02.CU_03, inst_count, 321888.000000000000
118, GPU1.chiplet_03.SA_03.CU_00, inst_count, 328776.000000000000
119, GPU1.chiplet_03.SA_03.CU_01, inst_count, 328824.000000000000
120, GPU1.chiplet_03.SA_03.CU_02, inst_count, 324480.000000000000
121, GPU1.chiplet_03.SA_03.CU_03, inst_count, 314424.000000000000
122, GPU1.chiplet_03.SA_04.CU_00, inst_count, 322752.000000000000
123, GPU1.chiplet_03.SA_04.CU_01, inst_count, 323928.000000000000
124, GPU1.chiplet_03.SA_04.CU_02, inst_count, 319728.000000000000
125, GPU1.chiplet_03.SA_04.CU_03, inst_count, 318312.000000000000
126, GPU1.chiplet_03.SA_05.CU_00, inst_count, 323496.000000000000
