, where, what, value
0, driver, memory_footprint_bytes, 1073766400.000000000000
1, driver, kernel_time, 0.001871210000
2, driver, total_time, 0.089083712000
3, driver, kernel_time 0, 0.000001626000
4, driver, kernel_time 1, 0.001869584000
5, GPU1.CommandProcessor, kernel_time, 0.001870032000
6, GPU1.CommandProcessor, kernel_time 0, 0.000001626000
7, GPU1.CommandProcessor, kernel_time 1, 0.001869584000
8, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.045478695000
9, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.045387387000
10, GPU1.chiplet_00.SA_00.CU_00, inst_count, 802532.000000000000
11, GPU1.chiplet_00.SA_00.CU_01, inst_count, 806424.000000000000
12, GPU1.chiplet_00.SA_00.CU_02, inst_count, 800180.000000000000
13, GPU1.chiplet_00.SA_00.CU_03, inst_count, 800572.000000000000
14, GPU1.chiplet_00.SA_01.CU_00, inst_count, 809812.000000000000
15, GPU1.chiplet_00.SA_01.CU_01, inst_count, 808216.000000000000
16, GPU1.chiplet_00.SA_01.CU_02, inst_count, 803092.000000000000
17, GPU1.chiplet_00.SA_01.CU_03, inst_count, 802336.000000000000
18, GPU1.chiplet_00.SA_02.CU_00, inst_count, 801972.000000000000
19, GPU1.chiplet_00.SA_02.CU_01, inst_count, 802336.000000000000
20, GPU1.chiplet_00.SA_02.CU_02, inst_count, 805276.000000000000
21, GPU1.chiplet_00.SA_02.CU_03, inst_count, 799368.000000000000
22, GPU1.chiplet_00.SA_03.CU_00, inst_count, 809000.000000000000
23, GPU1.chiplet_00.SA_03.CU_01, inst_count, 805276.000000000000
24, GPU1.chiplet_00.SA_03.CU_02, inst_count, 799928.000000000000
25, GPU1.chiplet_00.SA_03.CU_03, inst_count, 798948.000000000000
26, GPU1.chiplet_00.SA_04.CU_00, inst_count, 799592.000000000000
27, GPU1.chiplet_00.SA_04.CU_01, inst_count, 798976.000000000000
28, GPU1.chiplet_00.SA_04.CU_02, inst_count, 798472.000000000000
29, GPU1.chiplet_00.SA_04.CU_03, inst_count, 803316.000000000000
30, GPU1.chiplet_00.SA_05.CU_00, inst_count, 801356.000000000000
31, GPU1.chiplet_00.SA_05.CU_01, inst_count, 804128.000000000000
32, GPU1.chiplet_00.SA_05.CU_02, inst_count, 806032.000000000000
33, GPU1.chiplet_00.SA_05.CU_03, inst_count, 804128.000000000000
34, GPU1.chiplet_00.SA_06.CU_00, inst_count, 800152.000000000000
35, GPU1.chiplet_00.SA_06.CU_01, inst_count, 801216.000000000000
36, GPU1.chiplet_00.SA_06.CU_02, inst_count, 797800.000000000000
37, GPU1.chiplet_00.SA_06.CU_03, inst_count, 801384.000000000000
38, GPU1.chiplet_00.SA_07.CU_00, inst_count, 803876.000000000000
39, GPU1.chiplet_00.SA_07.CU_01, inst_count, 798332.000000000000
40, GPU1.chiplet_00.SA_07.CU_02, inst_count, 797632.000000000000
41, GPU1.chiplet_00.SA_07.CU_03, inst_count, 793544.000000000000
42, GPU1.chiplet_01.SA_00.CU_00, inst_count, 802756.000000000000
43, GPU1.chiplet_01.SA_00.CU_01, inst_count, 804856.000000000000
44, GPU1.chiplet_01.SA_00.CU_02, inst_count, 804548.000000000000
45, GPU1.chiplet_01.SA_00.CU_03, inst_count, 804100.000000000000
46, GPU1.chiplet_01.SA_01.CU_00, inst_count, 799452.000000000000
47, GPU1.chiplet_01.SA_01.CU_01, inst_count, 803316.000000000000
48, GPU1.chiplet_01.SA_01.CU_02, inst_count, 804436.000000000000
49, GPU1.chiplet_01.SA_01.CU_03, inst_count, 805052.000000000000
50, GPU1.chiplet_01.SA_02.CU_00, inst_count, 814096.000000000000
51, GPU1.chiplet_01.SA_02.CU_01, inst_count, 799452.000000000000
52, GPU1.chiplet_01.SA_02.CU_02, inst_count, 797212.000000000000
53, GPU1.chiplet_01.SA_02.CU_03, inst_count, 805668.000000000000
54, GPU1.chiplet_01.SA_03.CU_00, inst_count, 799564.000000000000
55, GPU1.chiplet_01.SA_03.CU_01, inst_count, 807460.000000000000
56, GPU1.chiplet_01.SA_03.CU_02, inst_count, 796848.000000000000
57, GPU1.chiplet_01.SA_03.CU_03, inst_count, 797996.000000000000
58, GPU1.chiplet_01.SA_04.CU_00, inst_count, 798416.000000000000
59, GPU1.chiplet_01.SA_04.CU_01, inst_count, 805696.000000000000
60, GPU1.chiplet_01.SA_04.CU_02, inst_count, 799396.000000000000
61, GPU1.chiplet_01.SA_04.CU_03, inst_count, 804856.000000000000
62, GPU1.chiplet_01.SA_05.CU_00, inst_count, 802392.000000000000
63, GPU1.chiplet_01.SA_05.CU_01, inst_count, 799004.000000000000
64, GPU1.chiplet_01.SA_05.CU_02, inst_count, 800180.000000000000
65, GPU1.chiplet_01.SA_05.CU_03, inst_count, 798388.000000000000
66, GPU1.chiplet_01.SA_06.CU_00, inst_count, 800096.000000000000
67, GPU1.chiplet_01.SA_06.CU_01, inst_count, 794132.000000000000
68, GPU1.chiplet_01.SA_06.CU_02, inst_count, 799396.000000000000
69, GPU1.chiplet_01.SA_06.CU_03, inst_count, 797632.000000000000
70, GPU1.chiplet_01.SA_07.CU_00, inst_count, 798248.000000000000
71, GPU1.chiplet_01.SA_07.CU_01, inst_count, 800208.000000000000
72, GPU1.chiplet_01.SA_07.CU_02, inst_count, 793740.000000000000
73, GPU1.chiplet_01.SA_07.CU_03, inst_count, 800152.000000000000
74, GPU1.chiplet_02.SA_00.CU_00, inst_count, 802004.000000000000
75, GPU1.chiplet_02.SA_00.CU_01, inst_count, 804776.000000000000
76, GPU1.chiplet_02.SA_00.CU_02, inst_count, 809228.000000000000
77, GPU1.chiplet_02.SA_00.CU_03, inst_count, 806288.000000000000
78, GPU1.chiplet_02.SA_01.CU_00, inst_count, 802816.000000000000
79, GPU1.chiplet_02.SA_01.CU_01, inst_count, 803376.000000000000
80, GPU1.chiplet_02.SA_01.CU_02, inst_count, 809452.000000000000
81, GPU1.chiplet_02.SA_01.CU_03, inst_count, 808080.000000000000
82, GPU1.chiplet_02.SA_02.CU_00, inst_count, 804300.000000000000
83, GPU1.chiplet_02.SA_02.CU_01, inst_count, 795536.000000000000
84, GPU1.chiplet_02.SA_02.CU_02, inst_count, 800464.000000000000
85, GPU1.chiplet_02.SA_02.CU_03, inst_count, 803348.000000000000
86, GPU1.chiplet_02.SA_03.CU_00, inst_count, 801360.000000000000
87, GPU1.chiplet_02.SA_03.CU_01, inst_count, 805028.000000000000
88, GPU1.chiplet_02.SA_03.CU_02, inst_count, 805084.000000000000
89, GPU1.chiplet_02.SA_03.CU_03, inst_count, 798280.000000000000
90, GPU1.chiplet_02.SA_04.CU_00, inst_count, 797076.000000000000
91, GPU1.chiplet_02.SA_04.CU_01, inst_count, 807044.000000000000
92, GPU1.chiplet_02.SA_04.CU_02, inst_count, 803992.000000000000
93, GPU1.chiplet_02.SA_04.CU_03, inst_count, 799764.000000000000
94, GPU1.chiplet_02.SA_05.CU_00, inst_count, 802732.000000000000
95, GPU1.chiplet_02.SA_05.CU_01, inst_count, 810208.000000000000
96, GPU1.chiplet_02.SA_05.CU_02, inst_count, 800912.000000000000
97, GPU1.chiplet_02.SA_05.CU_03, inst_count, 799092.000000000000
