, where, what, value
0, driver, memory_footprint_bytes, 335593472.000000000000
1, driver, kernel_time, 0.001367583000
2, driver, total_time, 0.023259357000
3, driver, kernel_time 0, 0.000341191000
4, driver, kernel_time 1, 0.000342017000
5, driver, kernel_time 2, 0.000342417000
6, driver, kernel_time 3, 0.000341958000
7, GPU1.CommandProcessor, kernel_time, 0.001365227000
8, GPU1.CommandProcessor, kernel_time 0, 0.000341191000
9, GPU1.CommandProcessor, kernel_time 1, 0.000342017000
10, GPU1.CommandProcessor, kernel_time 2, 0.000342417000
11, GPU1.CommandProcessor, kernel_time 3, 0.000341958000
12, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.009624752000
13, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.009252487000
14, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.008879392000
15, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.008505903000
16, GPU1.chiplet_00.SA_00.CU_00, inst_count, 196200.000000000000
17, GPU1.chiplet_00.SA_00.CU_01, inst_count, 195480.000000000000
18, GPU1.chiplet_00.SA_00.CU_02, inst_count, 191520.000000000000
19, GPU1.chiplet_00.SA_00.CU_03, inst_count, 196560.000000000000
20, GPU1.chiplet_00.SA_01.CU_00, inst_count, 188280.000000000000
21, GPU1.chiplet_00.SA_01.CU_01, inst_count, 199800.000000000000
22, GPU1.chiplet_00.SA_01.CU_02, inst_count, 196560.000000000000
23, GPU1.chiplet_00.SA_01.CU_03, inst_count, 192600.000000000000
24, GPU1.chiplet_00.SA_02.CU_00, inst_count, 174240.000000000000
25, GPU1.chiplet_00.SA_02.CU_01, inst_count, 183960.000000000000
26, GPU1.chiplet_00.SA_02.CU_02, inst_count, 179640.000000000000
27, GPU1.chiplet_00.SA_02.CU_03, inst_count, 174960.000000000000
28, GPU1.chiplet_00.SA_03.CU_00, inst_count, 187920.000000000000
29, GPU1.chiplet_00.SA_03.CU_01, inst_count, 197640.000000000000
30, GPU1.chiplet_00.SA_03.CU_02, inst_count, 187200.000000000000
31, GPU1.chiplet_00.SA_03.CU_03, inst_count, 177840.000000000000
32, GPU1.chiplet_00.SA_04.CU_00, inst_count, 174240.000000000000
33, GPU1.chiplet_00.SA_04.CU_01, inst_count, 184680.000000000000
34, GPU1.chiplet_00.SA_04.CU_02, inst_count, 166680.000000000000
35, GPU1.chiplet_00.SA_04.CU_03, inst_count, 181800.000000000000
36, GPU1.chiplet_00.SA_05.CU_00, inst_count, 183240.000000000000
37, GPU1.chiplet_00.SA_05.CU_01, inst_count, 176040.000000000000
38, GPU1.chiplet_00.SA_05.CU_02, inst_count, 176400.000000000000
39, GPU1.chiplet_00.SA_05.CU_03, inst_count, 180000.000000000000
