, where, what, value
0, driver, memory_footprint_bytes, 100704256.000000000000
1, driver, kernel_time, 0.003000460000
2, driver, total_time, 0.008316837000
3, driver, kernel_time 0, 0.001203927000
4, driver, kernel_time 1, 0.001135521000
5, driver, kernel_time 2, 0.000661012000
6, GPU1.CommandProcessor, kernel_time, 0.002998693000
7, GPU1.CommandProcessor, kernel_time 0, 0.001203927000
8, GPU1.CommandProcessor, kernel_time 1, 0.001135521000
9, GPU1.CommandProcessor, kernel_time 2, 0.000661012000
10, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.004563371000
11, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.002834338000
12, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.001174140000
13, GPU1.chiplet_00.SA_00.CU_00, inst_count, 109814.000000000000
14, GPU1.chiplet_00.SA_00.CU_01, inst_count, 107152.000000000000
15, GPU1.chiplet_00.SA_00.CU_02, inst_count, 104900.000000000000
16, GPU1.chiplet_00.SA_00.CU_03, inst_count, 117082.000000000000
17, GPU1.chiplet_00.SA_01.CU_00, inst_count, 110026.000000000000
18, GPU1.chiplet_00.SA_01.CU_01, inst_count, 107410.000000000000
19, GPU1.chiplet_00.SA_01.CU_02, inst_count, 106880.000000000000
20, GPU1.chiplet_00.SA_01.CU_03, inst_count, 109774.000000000000
21, GPU1.chiplet_00.SA_02.CU_00, inst_count, 106650.000000000000
22, GPU1.chiplet_00.SA_02.CU_01, inst_count, 105402.000000000000
23, GPU1.chiplet_00.SA_02.CU_02, inst_count, 107504.000000000000
24, GPU1.chiplet_00.SA_02.CU_03, inst_count, 102814.000000000000
25, GPU1.chiplet_00.SA_03.CU_00, inst_count, 109702.000000000000
26, GPU1.chiplet_00.SA_03.CU_01, inst_count, 100002.000000000000
27, GPU1.chiplet_00.SA_03.CU_02, inst_count, 104842.000000000000
28, GPU1.chiplet_00.SA_03.CU_03, inst_count, 103974.000000000000
29, GPU1.chiplet_00.SA_04.CU_00, inst_count, 102240.000000000000
30, GPU1.chiplet_00.SA_04.CU_01, inst_count, 102204.000000000000
31, GPU1.chiplet_00.SA_04.CU_02, inst_count, 107598.000000000000
32, GPU1.chiplet_00.SA_04.CU_03, inst_count, 110566.000000000000
33, GPU1.chiplet_00.SA_05.CU_00, inst_count, 99468.000000000000
34, GPU1.chiplet_00.SA_05.CU_01, inst_count, 98012.000000000000
35, GPU1.chiplet_00.SA_05.CU_02, inst_count, 105578.000000000000
36, GPU1.chiplet_00.SA_05.CU_03, inst_count, 104848.000000000000
37, GPU1.chiplet_00.SA_06.CU_00, inst_count, 96842.000000000000
