, where, what, value
0, driver, memory_footprint_bytes, 234934272.000000000000
1, driver, kernel_time, 0.000173437000
2, driver, total_time, 0.007067137000
3, driver, kernel_time 0, 0.000034168000
4, driver, kernel_time 1, 0.000039404000
5, driver, kernel_time 2, 0.000034212000
6, driver, kernel_time 3, 0.000065653000
7, GPU1.CommandProcessor, kernel_time, 0.000171081000
8, GPU1.CommandProcessor, kernel_time 0, 0.000034168000
9, GPU1.CommandProcessor, kernel_time 1, 0.000039404000
10, GPU1.CommandProcessor, kernel_time 2, 0.000034212000
11, GPU1.CommandProcessor, kernel_time 3, 0.000065653000
12, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000243936000
13, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.000185523000
14, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.000122927000
15, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.000065653000
16, GPU1.chiplet_00.SA_00.CU_00, inst_count, 109252.000000000000
17, GPU1.chiplet_00.SA_00.CU_01, inst_count, 110870.000000000000
18, GPU1.chiplet_00.SA_00.CU_02, inst_count, 108100.000000000000
19, GPU1.chiplet_00.SA_00.CU_03, inst_count, 106420.000000000000
20, GPU1.chiplet_00.SA_01.CU_00, inst_count, 108664.000000000000
21, GPU1.chiplet_00.SA_01.CU_01, inst_count, 103850.000000000000
22, GPU1.chiplet_00.SA_01.CU_02, inst_count, 103158.000000000000
23, GPU1.chiplet_00.SA_01.CU_03, inst_count, 103918.000000000000
24, GPU1.chiplet_00.SA_02.CU_00, inst_count, 104270.000000000000
25, GPU1.chiplet_00.SA_02.CU_01, inst_count, 102676.000000000000
26, GPU1.chiplet_00.SA_02.CU_02, inst_count, 102254.000000000000
27, GPU1.chiplet_00.SA_02.CU_03, inst_count, 101286.000000000000
28, GPU1.chiplet_00.SA_03.CU_00, inst_count, 99942.000000000000
29, GPU1.chiplet_00.SA_03.CU_01, inst_count, 100324.000000000000
30, GPU1.chiplet_00.SA_03.CU_02, inst_count, 99462.000000000000
31, GPU1.chiplet_00.SA_03.CU_03, inst_count, 97310.000000000000
32, GPU1.chiplet_00.SA_04.CU_00, inst_count, 97790.000000000000
33, GPU1.chiplet_00.SA_04.CU_01, inst_count, 97552.000000000000
34, GPU1.chiplet_00.SA_04.CU_02, inst_count, 96048.000000000000
35, GPU1.chiplet_00.SA_04.CU_03, inst_count, 94570.000000000000
36, GPU1.chiplet_00.SA_05.CU_00, inst_count, 92744.000000000000
37, GPU1.chiplet_00.SA_05.CU_01, inst_count, 93188.000000000000
38, GPU1.chiplet_00.SA_05.CU_02, inst_count, 91530.000000000000
39, GPU1.chiplet_00.SA_05.CU_03, inst_count, 90284.000000000000
40, GPU1.chiplet_00.SA_06.CU_00, inst_count, 91304.000000000000
41, GPU1.chiplet_00.SA_06.CU_01, inst_count, 90306.000000000000
42, GPU1.chiplet_00.SA_06.CU_02, inst_count, 86478.000000000000
43, GPU1.chiplet_00.SA_06.CU_03, inst_count, 78340.000000000000
44, GPU1.chiplet_00.SA_07.CU_00, inst_count, 79408.000000000000
45, GPU1.chiplet_00.SA_07.CU_01, inst_count, 77334.000000000000
46, GPU1.chiplet_00.SA_07.CU_02, inst_count, 71740.000000000000
47, GPU1.chiplet_00.SA_07.CU_03, inst_count, 69402.000000000000
48, GPU1.chiplet_01.SA_00.CU_00, inst_count, 68346.000000000000
49, GPU1.chiplet_01.SA_00.CU_01, inst_count, 67496.000000000000
50, GPU1.chiplet_01.SA_00.CU_02, inst_count, 65232.000000000000
51, GPU1.chiplet_01.SA_00.CU_03, inst_count, 64270.000000000000
52, GPU1.chiplet_01.SA_01.CU_00, inst_count, 64458.000000000000
53, GPU1.chiplet_01.SA_01.CU_01, inst_count, 63370.000000000000
54, GPU1.chiplet_01.SA_01.CU_02, inst_count, 65562.000000000000
55, GPU1.chiplet_01.SA_01.CU_03, inst_count, 65484.000000000000
56, GPU1.chiplet_01.SA_02.CU_00, inst_count, 64152.000000000000
57, GPU1.chiplet_01.SA_02.CU_01, inst_count, 63074.000000000000
58, GPU1.chiplet_01.SA_02.CU_02, inst_count, 61400.000000000000
59, GPU1.chiplet_01.SA_02.CU_03, inst_count, 59758.000000000000
60, GPU1.chiplet_01.SA_03.CU_00, inst_count, 61466.000000000000
61, GPU1.chiplet_01.SA_03.CU_01, inst_count, 57676.000000000000
62, GPU1.chiplet_01.SA_03.CU_02, inst_count, 56760.000000000000
63, GPU1.chiplet_01.SA_03.CU_03, inst_count, 55990.000000000000
64, GPU1.chiplet_01.SA_04.CU_00, inst_count, 55224.000000000000
65, GPU1.chiplet_01.SA_04.CU_01, inst_count, 56790.000000000000
66, GPU1.chiplet_01.SA_04.CU_02, inst_count, 53696.000000000000
67, GPU1.chiplet_01.SA_04.CU_03, inst_count, 53794.000000000000
68, GPU1.chiplet_01.SA_05.CU_00, inst_count, 52938.000000000000
69, GPU1.chiplet_01.SA_05.CU_01, inst_count, 56858.000000000000
70, GPU1.chiplet_01.SA_05.CU_02, inst_count, 55248.000000000000
71, GPU1.chiplet_01.SA_05.CU_03, inst_count, 55084.000000000000
72, GPU1.chiplet_01.SA_06.CU_00, inst_count, 57292.000000000000
73, GPU1.chiplet_01.SA_06.CU_01, inst_count, 55146.000000000000
74, GPU1.chiplet_01.SA_06.CU_02, inst_count, 54706.000000000000
75, GPU1.chiplet_01.SA_06.CU_03, inst_count, 54230.000000000000
76, GPU1.chiplet_01.SA_07.CU_00, inst_count, 55936.000000000000
77, GPU1.chiplet_01.SA_07.CU_01, inst_count, 58984.000000000000
78, GPU1.chiplet_01.SA_07.CU_02, inst_count, 58924.000000000000
79, GPU1.chiplet_01.SA_07.CU_03, inst_count, 59944.000000000000
80, GPU1.chiplet_02.SA_00.CU_00, inst_count, 62460.000000000000
81, GPU1.chiplet_02.SA_00.CU_01, inst_count, 60706.000000000000
82, GPU1.chiplet_02.SA_00.CU_02, inst_count, 62466.000000000000
83, GPU1.chiplet_02.SA_00.CU_03, inst_count, 61464.000000000000
84, GPU1.chiplet_02.SA_01.CU_00, inst_count, 58530.000000000000
85, GPU1.chiplet_02.SA_01.CU_01, inst_count, 58604.000000000000
86, GPU1.chiplet_02.SA_01.CU_02, inst_count, 57666.000000000000
87, GPU1.chiplet_02.SA_01.CU_03, inst_count, 59838.000000000000
88, GPU1.chiplet_02.SA_02.CU_00, inst_count, 60172.000000000000
89, GPU1.chiplet_02.SA_02.CU_01, inst_count, 56528.000000000000
90, GPU1.chiplet_02.SA_02.CU_02, inst_count, 56056.000000000000
91, GPU1.chiplet_02.SA_02.CU_03, inst_count, 58336.000000000000
92, GPU1.chiplet_02.SA_03.CU_00, inst_count, 54880.000000000000
93, GPU1.chiplet_02.SA_03.CU_01, inst_count, 53690.000000000000
94, GPU1.chiplet_02.SA_03.CU_02, inst_count, 54646.000000000000
95, GPU1.chiplet_02.SA_03.CU_03, inst_count, 51682.000000000000
96, GPU1.chiplet_02.SA_04.CU_00, inst_count, 50026.000000000000
97, GPU1.chiplet_02.SA_04.CU_01, inst_count, 50056.000000000000
98, GPU1.chiplet_02.SA_04.CU_02, inst_count, 51696.000000000000
99, GPU1.chiplet_02.SA_04.CU_03, inst_count, 53670.000000000000
100, GPU1.chiplet_02.SA_05.CU_00, inst_count, 51508.000000000000
101, GPU1.chiplet_02.SA_05.CU_01, inst_count, 52332.000000000000
102, GPU1.chiplet_02.SA_05.CU_02, inst_count, 51756.000000000000
103, GPU1.chiplet_02.SA_05.CU_03, inst_count, 51290.000000000000
104, GPU1.chiplet_02.SA_06.CU_00, inst_count, 49958.000000000000
105, GPU1.chiplet_02.SA_06.CU_01, inst_count, 50652.000000000000
106, GPU1.chiplet_02.SA_06.CU_02, inst_count, 47044.000000000000
107, GPU1.chiplet_02.SA_06.CU_03, inst_count, 49740.000000000000
108, GPU1.chiplet_02.SA_07.CU_00, inst_count, 46656.000000000000
109, GPU1.chiplet_02.SA_07.CU_01, inst_count, 47328.000000000000
110, GPU1.chiplet_02.SA_07.CU_02, inst_count, 46720.000000000000
111, GPU1.chiplet_02.SA_07.CU_03, inst_count, 48026.000000000000
112, GPU1.chiplet_03.SA_00.CU_00, inst_count, 49708.000000000000
113, GPU1.chiplet_03.SA_00.CU_01, inst_count, 48778.000000000000
114, GPU1.chiplet_03.SA_00.CU_02, inst_count, 47712.000000000000
115, GPU1.chiplet_03.SA_00.CU_03, inst_count, 48770.000000000000
116, GPU1.chiplet_03.SA_01.CU_00, inst_count, 48438.000000000000
117, GPU1.chiplet_03.SA_01.CU_01, inst_count, 48010.000000000000
118, GPU1.chiplet_03.SA_01.CU_02, inst_count, 47524.000000000000
119, GPU1.chiplet_03.SA_01.CU_03, inst_count, 48530.000000000000
120, GPU1.chiplet_03.SA_02.CU_00, inst_count, 48826.000000000000
121, GPU1.chiplet_03.SA_02.CU_01, inst_count, 47706.000000000000
122, GPU1.chiplet_03.SA_02.CU_02, inst_count, 47836.000000000000
123, GPU1.chiplet_03.SA_02.CU_03, inst_count, 47146.000000000000
124, GPU1.chiplet_03.SA_03.CU_00, inst_count, 49610.000000000000
125, GPU1.chiplet_03.SA_03.CU_01, inst_count, 47032.000000000000
126, GPU1.chiplet_03.SA_03.CU_02, inst_count, 46444.000000000000
127, GPU1.chiplet_03.SA_03.CU_03, inst_count, 45766.000000000000
128, GPU1.chiplet_03.SA_04.CU_00, inst_count, 46152.000000000000
129, GPU1.chiplet_03.SA_04.CU_01, inst_count, 46462.000000000000
130, GPU1.chiplet_03.SA_04.CU_02, inst_count, 45458.000000000000
131, GPU1.chiplet_03.SA_04.CU_03, inst_count, 47508.000000000000
132, GPU1.chiplet_03.SA_05.CU_00, inst_count, 46834.000000000000
133, GPU1.chiplet_03.SA_05.CU_01, inst_count, 46550.000000000000
134, GPU1.chiplet_03.SA_05.CU_02, inst_count, 46418.000000000000
135, GPU1.chiplet_03.SA_05.CU_03, inst_count, 49384.000000000000
136, GPU1.chiplet_03.SA_06.CU_00, inst_count, 51104.000000000000
137, GPU1.chiplet_03.SA_06.CU_01, inst_count, 49252.000000000000
138, GPU1.chiplet_03.SA_06.CU_02, inst_count, 50492.000000000000
139, GPU1.chiplet_03.SA_06.CU_03, inst_count, 47966.000000000000
140, GPU1.chiplet_03.SA_07.CU_00, inst_count, 47270.000000000000
141, GPU1.chiplet_03.SA_07.CU_01, inst_count, 46674.000000000000
142, GPU1.chiplet_03.SA_07.CU_02, inst_count, 44216.000000000000
143, GPU1.chiplet_03.SA_07.CU_03, inst_count, 43584.000000000000
144, GPU1.chiplet_04.SA_00.CU_00, inst_count, 39746.000000000000
145, GPU1.chiplet_04.SA_00.CU_01, inst_count, 37744.000000000000
146, GPU1.chiplet_04.SA_00.CU_02, inst_count, 37442.000000000000
147, GPU1.chiplet_04.SA_00.CU_03, inst_count, 36158.000000000000
148, GPU1.chiplet_04.SA_01.CU_00, inst_count, 36812.000000000000
149, GPU1.chiplet_04.SA_01.CU_01, inst_count, 36504.000000000000
150, GPU1.chiplet_04.SA_01.CU_02, inst_count, 34890.000000000000
151, GPU1.chiplet_04.SA_01.CU_03, inst_count, 36496.000000000000
152, GPU1.chiplet_04.SA_02.CU_00, inst_count, 37234.000000000000
153, GPU1.chiplet_04.SA_02.CU_01, inst_count, 36092.000000000000
154, GPU1.chiplet_04.SA_02.CU_02, inst_count, 35988.000000000000
155, GPU1.chiplet_04.SA_02.CU_03, inst_count, 34722.000000000000
156, GPU1.chiplet_04.SA_03.CU_00, inst_count, 33138.000000000000
157, GPU1.chiplet_04.SA_03.CU_01, inst_count, 34798.000000000000
158, GPU1.chiplet_04.SA_03.CU_02, inst_count, 33916.000000000000
159, GPU1.chiplet_04.SA_03.CU_03, inst_count, 33366.000000000000
160, GPU1.chiplet_04.SA_04.CU_00, inst_count, 34644.000000000000
161, GPU1.chiplet_04.SA_04.CU_01, inst_count, 33938.000000000000
162, GPU1.chiplet_04.SA_04.CU_02, inst_count, 35050.000000000000
163, GPU1.chiplet_04.SA_04.CU_03, inst_count, 35336.000000000000
164, GPU1.chiplet_04.SA_05.CU_00, inst_count, 36370.000000000000
165, GPU1.chiplet_04.SA_05.CU_01, inst_count, 36730.000000000000
166, GPU1.chiplet_04.SA_05.CU_02, inst_count, 36274.000000000000
167, GPU1.chiplet_04.SA_05.CU_03, inst_count, 36980.000000000000
168, GPU1.chiplet_04.SA_06.CU_00, inst_count, 37632.000000000000
169, GPU1.chiplet_04.SA_06.CU_01, inst_count, 37524.000000000000
170, GPU1.chiplet_04.SA_06.CU_02, inst_count, 36090.000000000000
171, GPU1.chiplet_04.SA_06.CU_03, inst_count, 36642.000000000000
172, GPU1.chiplet_04.SA_07.CU_00, inst_count, 37364.000000000000
173, GPU1.chiplet_04.SA_07.CU_01, inst_count, 36562.000000000000
174, GPU1.chiplet_04.SA_07.CU_02, inst_count, 35686.000000000000
175, GPU1.chiplet_04.SA_07.CU_03, inst_count, 36356.000000000000
176, GPU1.chiplet_05.SA_00.CU_00, inst_count, 36554.000000000000
177, GPU1.chiplet_05.SA_00.CU_01, inst_count, 35126.000000000000
178, GPU1.chiplet_05.SA_00.CU_02, inst_count, 35086.000000000000
179, GPU1.chiplet_05.SA_00.CU_03, inst_count, 36048.000000000000
180, GPU1.chiplet_05.SA_01.CU_00, inst_count, 34268.000000000000
181, GPU1.chiplet_05.SA_01.CU_01, inst_count, 34928.000000000000
182, GPU1.chiplet_05.SA_01.CU_02, inst_count, 35572.000000000000
183, GPU1.chiplet_05.SA_01.CU_03, inst_count, 34796.000000000000
184, GPU1.chiplet_05.SA_02.CU_00, inst_count, 35710.000000000000
185, GPU1.chiplet_05.SA_02.CU_01, inst_count, 35252.000000000000
186, GPU1.chiplet_05.SA_02.CU_02, inst_count, 36122.000000000000
187, GPU1.chiplet_05.SA_02.CU_03, inst_count, 34132.000000000000
188, GPU1.chiplet_05.SA_03.CU_00, inst_count, 36616.000000000000
189, GPU1.chiplet_05.SA_03.CU_01, inst_count, 35718.000000000000
190, GPU1.chiplet_05.SA_03.CU_02, inst_count, 35628.000000000000
191, GPU1.chiplet_05.SA_03.CU_03, inst_count, 35614.000000000000
192, GPU1.chiplet_05.SA_04.CU_00, inst_count, 33902.000000000000
193, GPU1.chiplet_05.SA_04.CU_01, inst_count, 34640.000000000000
194, GPU1.chiplet_05.SA_04.CU_02, inst_count, 35896.000000000000
195, GPU1.chiplet_05.SA_04.CU_03, inst_count, 36356.000000000000
196, GPU1.chiplet_05.SA_05.CU_00, inst_count, 37368.000000000000
197, GPU1.chiplet_05.SA_05.CU_01, inst_count, 37356.000000000000
198, GPU1.chiplet_05.SA_05.CU_02, inst_count, 37650.000000000000
199, GPU1.chiplet_05.SA_05.CU_03, inst_count, 36872.000000000000
200, GPU1.chiplet_05.SA_06.CU_00, inst_count, 38370.000000000000
201, GPU1.chiplet_05.SA_06.CU_01, inst_count, 36378.000000000000
202, GPU1.chiplet_05.SA_06.CU_02, inst_count, 36026.000000000000
203, GPU1.chiplet_05.SA_06.CU_03, inst_count, 36000.000000000000
204, GPU1.chiplet_05.SA_07.CU_00, inst_count, 37070.000000000000
205, GPU1.chiplet_05.SA_07.CU_01, inst_count, 35920.000000000000
206, GPU1.chiplet_05.SA_07.CU_02, inst_count, 34878.000000000000
207, GPU1.chiplet_05.SA_07.CU_03, inst_count, 35092.000000000000
208, GPU1.chiplet_06.SA_00.CU_00, inst_count, 36304.000000000000
209, GPU1.chiplet_06.SA_00.CU_01, inst_count, 35990.000000000000
210, GPU1.chiplet_06.SA_00.CU_02, inst_count, 34408.000000000000
211, GPU1.chiplet_06.SA_00.CU_03, inst_count, 33270.000000000000
212, GPU1.chiplet_06.SA_01.CU_00, inst_count, 33422.000000000000
213, GPU1.chiplet_06.SA_01.CU_01, inst_count, 32512.000000000000
214, GPU1.chiplet_06.SA_01.CU_02, inst_count, 34592.000000000000
