, where, what, value
0, driver, memory_footprint_bytes, 33939456.000000000000
1, driver, kernel_time, 0.000227806000
2, driver, total_time, 0.002324985000
3, driver, kernel_time 0, 0.000041762000
4, driver, kernel_time 1, 0.000046036000
5, driver, kernel_time 2, 0.000047708000
6, driver, kernel_time 3, 0.000046612000
7, driver, kernel_time 4, 0.000045688000
8, GPU1.CommandProcessor, kernel_time, 0.000224861000
9, GPU1.CommandProcessor, kernel_time 0, 0.000041762000
10, GPU1.CommandProcessor, kernel_time 1, 0.000046036000
11, GPU1.CommandProcessor, kernel_time 2, 0.000047708000
12, GPU1.CommandProcessor, kernel_time 3, 0.000046612000
13, GPU1.CommandProcessor, kernel_time 4, 0.000045688000
14, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000945570000
15, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.000896505000
16, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.000842930000
17, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.000787723000
18, GPU1.CommandProcessor, kernel_time (force stop) 4, 0.000733602000
19, GPU1.chiplet_00.SA_00.CU_00, inst_count, 93605.000000000000
20, GPU1.chiplet_00.SA_00.CU_01, inst_count, 84920.000000000000
21, GPU1.chiplet_00.SA_00.CU_02, inst_count, 87815.000000000000
22, GPU1.chiplet_00.SA_00.CU_03, inst_count, 82025.000000000000
23, GPU1.chiplet_00.SA_01.CU_00, inst_count, 76235.000000000000
24, GPU1.chiplet_00.SA_01.CU_01, inst_count, 79130.000000000000
25, GPU1.chiplet_00.SA_01.CU_02, inst_count, 78165.000000000000
26, GPU1.chiplet_00.SA_01.CU_03, inst_count, 87815.000000000000
27, GPU1.chiplet_00.SA_02.CU_00, inst_count, 88780.000000000000
28, GPU1.chiplet_00.SA_02.CU_01, inst_count, 82990.000000000000
29, GPU1.chiplet_00.SA_02.CU_02, inst_count, 74305.000000000000
30, GPU1.chiplet_00.SA_02.CU_03, inst_count, 73340.000000000000
31, GPU1.chiplet_00.SA_03.CU_00, inst_count, 65620.000000000000
32, GPU1.chiplet_00.SA_03.CU_01, inst_count, 74305.000000000000
33, GPU1.chiplet_00.SA_03.CU_02, inst_count, 90710.000000000000
34, GPU1.chiplet_00.SA_03.CU_03, inst_count, 82025.000000000000
35, GPU1.chiplet_00.SA_04.CU_00, inst_count, 89745.000000000000
36, GPU1.chiplet_00.SA_04.CU_01, inst_count, 60795.000000000000
37, GPU1.chiplet_00.SA_04.CU_02, inst_count, 91675.000000000000
38, GPU1.chiplet_00.SA_04.CU_03, inst_count, 73340.000000000000
39, GPU1.chiplet_00.SA_05.CU_00, inst_count, 81060.000000000000
40, GPU1.chiplet_00.SA_05.CU_01, inst_count, 69480.000000000000
41, GPU1.chiplet_00.SA_05.CU_02, inst_count, 66585.000000000000
42, GPU1.chiplet_00.SA_05.CU_03, inst_count, 69480.000000000000
43, GPU1.chiplet_00.SA_06.CU_00, inst_count, 70445.000000000000
44, GPU1.chiplet_00.SA_06.CU_01, inst_count, 80095.000000000000
45, GPU1.chiplet_00.SA_06.CU_02, inst_count, 72375.000000000000
46, GPU1.chiplet_00.SA_06.CU_03, inst_count, 65620.000000000000
47, GPU1.chiplet_00.SA_07.CU_00, inst_count, 67550.000000000000
48, GPU1.chiplet_00.SA_07.CU_01, inst_count, 66585.000000000000
49, GPU1.chiplet_00.SA_07.CU_02, inst_count, 73340.000000000000
50, GPU1.chiplet_00.SA_07.CU_03, inst_count, 69480.000000000000
51, GPU1.chiplet_01.SA_00.CU_00, inst_count, 87815.000000000000
52, GPU1.chiplet_01.SA_00.CU_01, inst_count, 87815.000000000000
53, GPU1.chiplet_01.SA_00.CU_02, inst_count, 95535.000000000000
54, GPU1.chiplet_01.SA_00.CU_03, inst_count, 90710.000000000000
55, GPU1.chiplet_01.SA_01.CU_00, inst_count, 74305.000000000000
56, GPU1.chiplet_01.SA_01.CU_01, inst_count, 86850.000000000000
57, GPU1.chiplet_01.SA_01.CU_02, inst_count, 87815.000000000000
58, GPU1.chiplet_01.SA_01.CU_03, inst_count, 81060.000000000000
59, GPU1.chiplet_01.SA_02.CU_00, inst_count, 84920.000000000000
60, GPU1.chiplet_01.SA_02.CU_01, inst_count, 85885.000000000000
61, GPU1.chiplet_01.SA_02.CU_02, inst_count, 76235.000000000000
62, GPU1.chiplet_01.SA_02.CU_03, inst_count, 88780.000000000000
63, GPU1.chiplet_01.SA_03.CU_00, inst_count, 81060.000000000000
64, GPU1.chiplet_01.SA_03.CU_01, inst_count, 64655.000000000000
65, GPU1.chiplet_01.SA_03.CU_02, inst_count, 74305.000000000000
66, GPU1.chiplet_01.SA_03.CU_03, inst_count, 75270.000000000000
67, GPU1.chiplet_01.SA_04.CU_00, inst_count, 76235.000000000000
68, GPU1.chiplet_01.SA_04.CU_01, inst_count, 80095.000000000000
69, GPU1.chiplet_01.SA_04.CU_02, inst_count, 76235.000000000000
70, GPU1.chiplet_01.SA_04.CU_03, inst_count, 73340.000000000000
71, GPU1.chiplet_01.SA_05.CU_00, inst_count, 83955.000000000000
72, GPU1.chiplet_01.SA_05.CU_01, inst_count, 79130.000000000000
73, GPU1.chiplet_01.SA_05.CU_02, inst_count, 77200.000000000000
74, GPU1.chiplet_01.SA_05.CU_03, inst_count, 68515.000000000000
75, GPU1.chiplet_01.SA_06.CU_00, inst_count, 68515.000000000000
