, where, what, value
0, driver, memory_footprint_bytes, 50458624.000000000000
1, driver, kernel_time, 0.008613682000
2, driver, total_time, 0.010911708000
3, driver, kernel_time 0, 0.000865289000
4, driver, kernel_time 1, 0.000860632000
5, driver, kernel_time 2, 0.000864721000
6, driver, kernel_time 3, 0.000859725000
7, driver, kernel_time 4, 0.000860983000
8, driver, kernel_time 5, 0.000861573000
9, driver, kernel_time 6, 0.000858752000
10, driver, kernel_time 7, 0.000858800000
11, driver, kernel_time 8, 0.000857741000
12, driver, kernel_time 9, 0.000865466000
13, GPU1.CommandProcessor, kernel_time, 0.008607792000
14, GPU1.CommandProcessor, kernel_time 0, 0.000865289000
15, GPU1.CommandProcessor, kernel_time 1, 0.000860632000
16, GPU1.CommandProcessor, kernel_time 2, 0.000864721000
17, GPU1.CommandProcessor, kernel_time 3, 0.000859725000
18, GPU1.CommandProcessor, kernel_time 4, 0.000860983000
19, GPU1.CommandProcessor, kernel_time 5, 0.000861573000
20, GPU1.CommandProcessor, kernel_time 6, 0.000858752000
21, GPU1.CommandProcessor, kernel_time 7, 0.000858800000
22, GPU1.CommandProcessor, kernel_time 8, 0.000857741000
23, GPU1.CommandProcessor, kernel_time 9, 0.000865466000
24, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.008861471000
25, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.007987725000
26, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.007118638000
27, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.006245458000
28, GPU1.CommandProcessor, kernel_time (force stop) 4, 0.005377274000
29, GPU1.CommandProcessor, kernel_time (force stop) 5, 0.004507830000
30, GPU1.CommandProcessor, kernel_time (force stop) 6, 0.003637804000
31, GPU1.CommandProcessor, kernel_time (force stop) 7, 0.002770602000
32, GPU1.CommandProcessor, kernel_time (force stop) 8, 0.001903351000
33, GPU1.CommandProcessor, kernel_time (force stop) 9, 0.001037149000
34, GPU1.chiplet_00.SA_00.CU_00, inst_count, 163968.000000000000
35, GPU1.chiplet_00.SA_00.CU_01, inst_count, 163968.000000000000
36, GPU1.chiplet_00.SA_00.CU_02, inst_count, 159088.000000000000
37, GPU1.chiplet_00.SA_00.CU_03, inst_count, 162016.000000000000
38, GPU1.chiplet_00.SA_01.CU_00, inst_count, 162016.000000000000
39, GPU1.chiplet_00.SA_01.CU_01, inst_count, 160064.000000000000
40, GPU1.chiplet_00.SA_01.CU_02, inst_count, 158112.000000000000
41, GPU1.chiplet_00.SA_01.CU_03, inst_count, 157136.000000000000
42, GPU1.chiplet_00.SA_02.CU_00, inst_count, 154208.000000000000
43, GPU1.chiplet_00.SA_02.CU_01, inst_count, 158112.000000000000
44, GPU1.chiplet_00.SA_02.CU_02, inst_count, 160064.000000000000
45, GPU1.chiplet_00.SA_02.CU_03, inst_count, 157136.000000000000
46, GPU1.chiplet_00.SA_03.CU_00, inst_count, 156160.000000000000
47, GPU1.chiplet_00.SA_03.CU_01, inst_count, 156160.000000000000
48, GPU1.chiplet_00.SA_03.CU_02, inst_count, 157136.000000000000
49, GPU1.chiplet_00.SA_03.CU_03, inst_count, 156160.000000000000
50, GPU1.chiplet_00.SA_04.CU_00, inst_count, 154208.000000000000
51, GPU1.chiplet_00.SA_04.CU_01, inst_count, 161040.000000000000
52, GPU1.chiplet_00.SA_04.CU_02, inst_count, 153232.000000000000
53, GPU1.chiplet_00.SA_04.CU_03, inst_count, 154208.000000000000
54, GPU1.chiplet_00.SA_05.CU_00, inst_count, 158112.000000000000
55, GPU1.chiplet_00.SA_05.CU_01, inst_count, 155184.000000000000
56, GPU1.chiplet_00.SA_05.CU_02, inst_count, 152256.000000000000
57, GPU1.chiplet_00.SA_05.CU_03, inst_count, 158112.000000000000
58, GPU1.chiplet_00.SA_06.CU_00, inst_count, 159088.000000000000
