, where, what, value
0, driver, memory_footprint_bytes, 16830464.000000000000
1, driver, kernel_time, 0.000131234000
2, driver, total_time, 0.000497686000
3, driver, kernel_time 0, 0.000006138000
4, driver, kernel_time 1, 0.000071331000
5, driver, kernel_time 2, 0.000044557000
6, driver, kernel_time 3, 0.000009208000
7, GPU1.CommandProcessor, kernel_time, 0.000128878000
8, GPU1.CommandProcessor, kernel_time 0, 0.000006138000
9, GPU1.CommandProcessor, kernel_time 1, 0.000071331000
10, GPU1.CommandProcessor, kernel_time 2, 0.000044557000
11, GPU1.CommandProcessor, kernel_time 3, 0.000009208000
12, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000151141000
13, GPU1.CommandProcessor, kernel_time (force stop) 1, 0.000139115000
14, GPU1.CommandProcessor, kernel_time (force stop) 2, 0.000061669000
15, GPU1.CommandProcessor, kernel_time (force stop) 3, 0.000011013000
16, GPU1.chiplet_00.SA_00.CU_00, inst_count, 16296.000000000000
17, GPU1.chiplet_00.SA_00.CU_01, inst_count, 17074.000000000000
18, GPU1.chiplet_00.SA_00.CU_02, inst_count, 16642.000000000000
19, GPU1.chiplet_00.SA_00.CU_03, inst_count, 16264.000000000000
20, GPU1.chiplet_00.SA_01.CU_00, inst_count, 16702.000000000000
21, GPU1.chiplet_00.SA_01.CU_01, inst_count, 16299.000000000000
22, GPU1.chiplet_00.SA_01.CU_02, inst_count, 16481.000000000000
23, GPU1.chiplet_00.SA_01.CU_03, inst_count, 16687.000000000000
24, GPU1.chiplet_00.SA_02.CU_00, inst_count, 16667.000000000000
25, GPU1.chiplet_00.SA_02.CU_01, inst_count, 16057.000000000000
26, GPU1.chiplet_00.SA_02.CU_02, inst_count, 16425.000000000000
27, GPU1.chiplet_00.SA_02.CU_03, inst_count, 16620.000000000000
28, GPU1.chiplet_00.SA_03.CU_00, inst_count, 16234.000000000000
29, GPU1.chiplet_00.SA_03.CU_01, inst_count, 16425.000000000000
30, GPU1.chiplet_00.SA_03.CU_02, inst_count, 15704.000000000000
31, GPU1.chiplet_00.SA_03.CU_03, inst_count, 16705.000000000000
32, GPU1.chiplet_00.SA_04.CU_00, inst_count, 16878.000000000000
33, GPU1.chiplet_00.SA_04.CU_01, inst_count, 16750.000000000000
34, GPU1.chiplet_00.SA_04.CU_02, inst_count, 16346.000000000000
35, GPU1.chiplet_00.SA_04.CU_03, inst_count, 17125.000000000000
36, GPU1.chiplet_00.SA_05.CU_00, inst_count, 16781.000000000000
37, GPU1.chiplet_00.SA_05.CU_01, inst_count, 16535.000000000000
38, GPU1.chiplet_00.SA_05.CU_02, inst_count, 16208.000000000000
39, GPU1.chiplet_00.SA_05.CU_03, inst_count, 17114.000000000000
40, GPU1.chiplet_00.SA_06.CU_00, inst_count, 16704.000000000000
41, GPU1.chiplet_00.SA_06.CU_01, inst_count, 16587.000000000000
42, GPU1.chiplet_00.SA_06.CU_02, inst_count, 16226.000000000000
43, GPU1.chiplet_00.SA_06.CU_03, inst_count, 16114.000000000000
44, GPU1.chiplet_00.SA_07.CU_00, inst_count, 16927.000000000000
45, GPU1.chiplet_00.SA_07.CU_01, inst_count, 16627.000000000000
46, GPU1.chiplet_00.SA_07.CU_02, inst_count, 16450.000000000000
47, GPU1.chiplet_00.SA_07.CU_03, inst_count, 16509.000000000000
48, GPU1.chiplet_01.SA_00.CU_00, inst_count, 16609.000000000000
49, GPU1.chiplet_01.SA_00.CU_01, inst_count, 16216.000000000000
50, GPU1.chiplet_01.SA_00.CU_02, inst_count, 16597.000000000000
51, GPU1.chiplet_01.SA_00.CU_03, inst_count, 17126.000000000000
52, GPU1.chiplet_01.SA_01.CU_00, inst_count, 16495.000000000000
53, GPU1.chiplet_01.SA_01.CU_01, inst_count, 16515.000000000000
54, GPU1.chiplet_01.SA_01.CU_02, inst_count, 16105.000000000000
55, GPU1.chiplet_01.SA_01.CU_03, inst_count, 16470.000000000000
56, GPU1.chiplet_01.SA_02.CU_00, inst_count, 16414.000000000000
57, GPU1.chiplet_01.SA_02.CU_01, inst_count, 16361.000000000000
58, GPU1.chiplet_01.SA_02.CU_02, inst_count, 16848.000000000000
59, GPU1.chiplet_01.SA_02.CU_03, inst_count, 16577.000000000000
60, GPU1.chiplet_01.SA_03.CU_00, inst_count, 16781.000000000000
61, GPU1.chiplet_01.SA_03.CU_01, inst_count, 16711.000000000000
62, GPU1.chiplet_01.SA_03.CU_02, inst_count, 16560.000000000000
63, GPU1.chiplet_01.SA_03.CU_03, inst_count, 16538.000000000000
64, GPU1.chiplet_01.SA_04.CU_00, inst_count, 16305.000000000000
65, GPU1.chiplet_01.SA_04.CU_01, inst_count, 16797.000000000000
66, GPU1.chiplet_01.SA_04.CU_02, inst_count, 16216.000000000000
67, GPU1.chiplet_01.SA_04.CU_03, inst_count, 16500.000000000000
68, GPU1.chiplet_01.SA_05.CU_00, inst_count, 16028.000000000000
69, GPU1.chiplet_01.SA_05.CU_01, inst_count, 16628.000000000000
70, GPU1.chiplet_01.SA_05.CU_02, inst_count, 16828.000000000000
71, GPU1.chiplet_01.SA_05.CU_03, inst_count, 16491.000000000000
72, GPU1.chiplet_01.SA_06.CU_00, inst_count, 16168.000000000000
73, GPU1.chiplet_01.SA_06.CU_01, inst_count, 16534.000000000000
74, GPU1.chiplet_01.SA_06.CU_02, inst_count, 16153.000000000000
75, GPU1.chiplet_01.SA_06.CU_03, inst_count, 16607.000000000000
76, GPU1.chiplet_01.SA_07.CU_00, inst_count, 16248.000000000000
77, GPU1.chiplet_01.SA_07.CU_01, inst_count, 16850.000000000000
78, GPU1.chiplet_01.SA_07.CU_02, inst_count, 16273.000000000000
79, GPU1.chiplet_01.SA_07.CU_03, inst_count, 16856.000000000000
80, GPU1.chiplet_02.SA_00.CU_00, inst_count, 16654.000000000000
81, GPU1.chiplet_02.SA_00.CU_01, inst_count, 16516.000000000000
82, GPU1.chiplet_02.SA_00.CU_02, inst_count, 16419.000000000000
83, GPU1.chiplet_02.SA_00.CU_03, inst_count, 16797.000000000000
84, GPU1.chiplet_02.SA_01.CU_00, inst_count, 16541.000000000000
85, GPU1.chiplet_02.SA_01.CU_01, inst_count, 16613.000000000000
86, GPU1.chiplet_02.SA_01.CU_02, inst_count, 16270.000000000000
87, GPU1.chiplet_02.SA_01.CU_03, inst_count, 16614.000000000000
88, GPU1.chiplet_02.SA_02.CU_00, inst_count, 16754.000000000000
89, GPU1.chiplet_02.SA_02.CU_01, inst_count, 16421.000000000000
90, GPU1.chiplet_02.SA_02.CU_02, inst_count, 16209.000000000000
91, GPU1.chiplet_02.SA_02.CU_03, inst_count, 16751.000000000000
92, GPU1.chiplet_02.SA_03.CU_00, inst_count, 16595.000000000000
93, GPU1.chiplet_02.SA_03.CU_01, inst_count, 16389.000000000000
94, GPU1.chiplet_02.SA_03.CU_02, inst_count, 16143.000000000000
95, GPU1.chiplet_02.SA_03.CU_03, inst_count, 16284.000000000000
96, GPU1.chiplet_02.SA_04.CU_00, inst_count, 16203.000000000000
97, GPU1.chiplet_02.SA_04.CU_01, inst_count, 16260.000000000000
98, GPU1.chiplet_02.SA_04.CU_02, inst_count, 16281.000000000000
99, GPU1.chiplet_02.SA_04.CU_03, inst_count, 16454.000000000000
100, GPU1.chiplet_02.SA_05.CU_00, inst_count, 16393.000000000000
101, GPU1.chiplet_02.SA_05.CU_01, inst_count, 16749.000000000000
102, GPU1.chiplet_02.SA_05.CU_02, inst_count, 16637.000000000000
103, GPU1.chiplet_02.SA_05.CU_03, inst_count, 16898.000000000000
104, GPU1.chiplet_02.SA_06.CU_00, inst_count, 16497.000000000000
105, GPU1.chiplet_02.SA_06.CU_01, inst_count, 16477.000000000000
106, GPU1.chiplet_02.SA_06.CU_02, inst_count, 16908.000000000000
107, GPU1.chiplet_02.SA_06.CU_03, inst_count, 16199.000000000000
108, GPU1.chiplet_02.SA_07.CU_00, inst_count, 16188.000000000000
109, GPU1.chiplet_02.SA_07.CU_01, inst_count, 16589.000000000000
110, GPU1.chiplet_02.SA_07.CU_02, inst_count, 16519.000000000000
111, GPU1.chiplet_02.SA_07.CU_03, inst_count, 16583.000000000000
112, GPU1.chiplet_03.SA_00.CU_00, inst_count, 16784.000000000000
113, GPU1.chiplet_03.SA_00.CU_01, inst_count, 16486.000000000000
114, GPU1.chiplet_03.SA_00.CU_02, inst_count, 16868.000000000000
115, GPU1.chiplet_03.SA_00.CU_03, inst_count, 16446.000000000000
116, GPU1.chiplet_03.SA_01.CU_00, inst_count, 16529.000000000000
117, GPU1.chiplet_03.SA_01.CU_01, inst_count, 16689.000000000000
118, GPU1.chiplet_03.SA_01.CU_02, inst_count, 16655.000000000000
119, GPU1.chiplet_03.SA_01.CU_03, inst_count, 16182.000000000000
120, GPU1.chiplet_03.SA_02.CU_00, inst_count, 16205.000000000000
121, GPU1.chiplet_03.SA_02.CU_01, inst_count, 16257.000000000000
122, GPU1.chiplet_03.SA_02.CU_02, inst_count, 16425.000000000000
123, GPU1.chiplet_03.SA_02.CU_03, inst_count, 16485.000000000000
124, GPU1.chiplet_03.SA_03.CU_00, inst_count, 16964.000000000000
125, GPU1.chiplet_03.SA_03.CU_01, inst_count, 16757.000000000000
126, GPU1.chiplet_03.SA_03.CU_02, inst_count, 16626.000000000000
127, GPU1.chiplet_03.SA_03.CU_03, inst_count, 16549.000000000000
128, GPU1.chiplet_03.SA_04.CU_00, inst_count, 16597.000000000000
129, GPU1.chiplet_03.SA_04.CU_01, inst_count, 16681.000000000000
130, GPU1.chiplet_03.SA_04.CU_02, inst_count, 16572.000000000000
131, GPU1.chiplet_03.SA_04.CU_03, inst_count, 16439.000000000000
132, GPU1.chiplet_03.SA_05.CU_00, inst_count, 16627.000000000000
133, GPU1.chiplet_03.SA_05.CU_01, inst_count, 16497.000000000000
134, GPU1.chiplet_03.SA_05.CU_02, inst_count, 16454.000000000000
135, GPU1.chiplet_03.SA_05.CU_03, inst_count, 16438.000000000000
136, GPU1.chiplet_03.SA_06.CU_00, inst_count, 16667.000000000000
137, GPU1.chiplet_03.SA_06.CU_01, inst_count, 16394.000000000000
138, GPU1.chiplet_03.SA_06.CU_02, inst_count, 16486.000000000000
139, GPU1.chiplet_03.SA_06.CU_03, inst_count, 16679.000000000000
140, GPU1.chiplet_03.SA_07.CU_00, inst_count, 16703.000000000000
141, GPU1.chiplet_03.SA_07.CU_01, inst_count, 16374.000000000000
142, GPU1.chiplet_03.SA_07.CU_02, inst_count, 16198.000000000000
143, GPU1.chiplet_03.SA_07.CU_03, inst_count, 15985.000000000000
144, GPU1.chiplet_04.SA_00.CU_00, inst_count, 16774.000000000000
145, GPU1.chiplet_04.SA_00.CU_01, inst_count, 16649.000000000000
146, GPU1.chiplet_04.SA_00.CU_02, inst_count, 16078.000000000000
147, GPU1.chiplet_04.SA_00.CU_03, inst_count, 16268.000000000000
148, GPU1.chiplet_04.SA_01.CU_00, inst_count, 16480.000000000000
149, GPU1.chiplet_04.SA_01.CU_01, inst_count, 16682.000000000000
150, GPU1.chiplet_04.SA_01.CU_02, inst_count, 16473.000000000000
